t,EKF_dev_min1,EKF_dev_min2,EKF_dev_min3,EKF_dev_min4
180,0.000108235889808515,0.005994717802297358,0.003960696186419912,0.013786191736268091
181,0.00010398191272166399,0.0033056093643146624,0.0020663813242697525,0.0073710529425583355
182,0.00014015835090116303,0.004159816970269463,0.0026768559105403633,0.003290587292166411
183,4.4194361114335765e-5,0.011185493516980746,0.0007116513430772843,0.024138251197823847
184,0.00013775905954238488,0.0016694956746095716,0.0021230544114672345,0.021595744824491846
185,0.00012949640777302918,0.0019981586482317585,0.013627180629518057,0.041100088079018146
186,0.00018700080306764016,0.0062116599645732,0.011131883353068375,0.04038751427382093
187,0.0002097838260229233,0.01264457306773828,0.006842671141511755,0.03778354646399696
188,0.00018199000162407803,0.024236250941228825,0.018299842955274637,0.031003275773112956
189,0.00022496018619818904,0.022103581263957367,0.019969739987332945,0.035412520077750226
190,0.00011309532294283735,0.024280788701365977,0.014900024361977094,0.05477081084000968
191,0.00016910527047868775,0.022224302636093107,0.02144290750402145,0.06185285564246521
192,0.00033307087450330786,0.011410514281981931,0.013314202737846665,0.08065331716590916
193,0.00018777359411424624,0.005390146137484717,0.012737525334776642,0.07194140605142449
194,0.0001095767090194738,0.0016127846093674648,0.01217206521273793,0.07157980381602946
195,0.00013922403107456262,0.018076058861143687,0.0238174945646451,0.07710646269377316
196,6.664854331863287e-5,0.02188873999345613,0.023636868387715667,0.07868556475019248
197,0.0002448533061161751,0.020466516210776213,0.023366384284259085,0.08673678970152011
198,0.00012181690667254684,0.014353643734549747,0.026127760312442128,0.0925032013360264
199,0.00020290872005031683,0.02213077830509859,0.035383396635470424,0.08850515760324738
200,0.0001071340875604084,0.008395668789814776,0.021357678216381102,0.09340197737805662
201,0.00022826674907973674,0.007266309092715512,0.028267509278677765,0.09132800833901265
202,0.00013868983631702147,0.01907836807270826,0.01774313761431943,0.10634621617718817
203,0.00015148194070885827,0.019004110434616927,0.03972666402425681,0.07482551610854947
204,0.00023031980538061654,0.037491732049605646,0.03719203805636178,0.0744461739129652
205,0.00012064506852357627,0.027669134600822983,0.025731076155735767,0.07444583212293315
206,0.00010694233359186246,0.0226919936038832,0.020070663931197726,0.08334166932856152
207,0.00015489203539028538,0.012008253140506898,0.016257547686686167,0.0830493415010878
208,0.0001298211243590735,0.011368207963025997,0.014287927907038226,0.0885462299769826
209,0.00012505098443784917,0.011389916458966441,0.019253611334727513,0.0855109790284123
210,0.00014152735968782812,0.013580339330996831,0.016973098925075213,0.08599745785319746
211,0.00012509698686008808,0.020253638297593208,0.019497558726388278,0.07702340204545835
212,0.0001316555811491628,0.017431326940348532,0.014553515000933388,0.0702065957622287
213,4.003598203651664e-5,0.014752365078684384,0.018432490463351034,0.06297400180947664
214,0.00012567480695300194,0.014345011832274438,0.006639456672397797,0.06510586095101278
215,0.00015890589869818202,0.018625374573082658,0.0013876564797534329,0.0693305009748727
216,8.604931832761645e-5,0.020783436496180335,0.002468268970480121,0.06532381723251804
217,0.00010905558266614217,0.010275794707230708,0.005021718536388603,0.06738841249196048
218,7.590710328879046e-5,0.012466004895045846,0.006562877462894244,0.0649364513905223
219,0.0002924691379502724,0.015364182613472693,0.009445043056315662,0.06180169039242837
220,9.558455578599646e-5,0.009005913381236083,0.010815294235583809,0.0619638989443669
221,0.0001293602572481842,0.019187925674706743,0.02363696530171068,0.05056265168934635
222,0.00016162496118313837,0.004229574427123641,0.007295624904307306,0.04914754398659379
223,0.00017761400584401032,0.012023296748498403,0.026355590231585596,0.04721881694321924
224,8.936994088321966e-5,0.0165065584945117,0.006649510098696355,0.044256166242056236
225,6.677194471660993e-5,0.015769742686858584,0.011056845081968187,0.041763553762121736
226,9.351902126021685e-5,0.010494111649266499,0.015835199259555344,0.03850330850045181
227,0.00012936067755215877,0.010565473729132422,0.018858394295332533,0.0308780878247886
228,0.000138914680513837,0.006641672577628197,0.008325839562197106,0.022538909742276982
229,0.0002967611093964889,0.00850321799546518,0.017504061056622194,0.020780206190736766
230,0.00014226114656131576,0.016018787022672155,0.024000047915001793,0.016196186007309123
231,0.0001442323674130837,0.018400735434128797,0.013387678652823547,0.012768526200115628
232,0.000175840197146874,0.011659608299565714,0.014048034250400845,0.012724935936429248
233,0.00010103935330929878,0.004200571637139366,0.008607246862289315,0.007086043890965352
234,0.00021898827397065558,0.01494500401315026,0.0025794553918685815,0.014424516914404066
235,0.00015405387732079213,0.02156250624737034,0.005874122392149882,0.016066594188736592
236,0.00014047264746293311,0.01975966997559935,0.005529843545981774,0.02339943068046734
237,0.0001220629909335713,0.020000720908123038,0.007490951109125679,0.03712763877842517
238,0.0002578340413745114,0.02328628512305218,0.006806739538022965,0.032311351709880295
239,7.777904865959151e-5,0.02229844404304201,0.005603929092431515,0.03766489215447817
240,0.0001890282497723175,0.02179757633823849,0.009376746977935866,0.04546919923788166
241,0.00019186539289820303,0.02485631662508314,0.009774144711209225,0.04773724575881552
242,0.00016173546186959835,0.019487813877258005,0.009800894291449444,0.05233448941808306
243,9.9818410257607e-5,0.0030237014481095882,0.006552767197158483,0.06044535733585528
244,0.00020440901308595085,0.0074204886471255305,0.013005712195973894,0.05515010739302747
245,0.00011920352896080543,0.009486449559196282,0.01373631077179911,0.062089241790625055
246,0.0002211521996319142,0.009348350223600848,0.014874156709067951,0.06275966842161639
247,0.00014230269812546834,0.010528677258320315,0.01349160805440769,0.07047787953910141
248,0.00018929190849263316,0.022994136647677757,0.007316140977634694,0.06909926957835773
249,4.238343439163451e-5,0.030286860494233493,0.013374292856055115,0.06969945661824942
250,0.00014372676012911967,0.01591160067099986,0.0039331591516944915,0.07780179131865103
251,0.0001488789381759152,0.02769795514875848,0.0060374710749551775,0.07565082308396327
252,0.0002262458445594498,0.0361007550103537,0.013748266443277746,0.07248847977907172
253,0.00022306364043339706,0.028409345677424987,0.020856934033597264,0.07325347946632937
254,4.974574253827005e-5,0.028535752801682933,0.025935483896340834,0.07461317701210131
255,0.0002466008750787755,0.03660472414080591,0.015332297640206822,0.07805812747644995
256,0.00010116418962744211,0.029006688897649558,0.02033975049700552,0.08107532194404692
257,0.00018519158012080837,0.032150920671167996,0.008290457313399257,0.08898633638269562
258,6.172046559546511e-5,0.027888082379187648,0.015377530837012533,0.080565736738024
259,0.00010090101563241171,0.029027215894983187,0.030403462213342818,0.07460342923300513
260,0.00022896757370575392,0.02633935345955337,0.033760266252808147,0.0695525003351543
261,0.00010966200972638504,0.028999800352047213,0.03120703277966861,0.07351967988284418
262,0.00013808964980810287,0.01940384135448187,0.03304252912115251,0.07316034450518404
263,0.00020149198542286488,0.01610963364966999,0.022090299762899744,0.07925513185205187
264,0.00021193371279230446,0.01421568281329665,0.0244708843544761,0.07574463558666025
265,0.00011255720913548137,0.018435684410945452,0.02472280666314138,0.06957158219027511
266,8.013479021691641e-5,0.013593767124635999,0.028839141802810872,0.06602090555902915
267,0.00019993268448768333,0.01829213974768273,0.01991876544261587,0.07066209141752473
268,0.0002466622128072361,0.018310512630435295,0.019273894236812993,0.06683443582809326
269,0.0002381793955851299,0.01826789974410787,0.012814728271644002,0.06873830923453099
270,0.0001512253338361384,0.010721891891832765,0.010814064560722068,0.07610922858865174
271,0.00013561554337478666,0.010820818936974449,0.022546032483104182,0.05227228059399903
272,5.1946063319497005e-5,0.009037964805098121,0.03196350471752503,0.024042429877234494
273,0.00011840190670524433,0.018331781454788875,0.02673723963853602,0.021868266344548283
274,0.0002049231900882206,0.014639334165860256,0.02070113488337677,0.0347870715998971
275,0.0001685585573483806,0.008733274112675073,0.013958021822934298,0.04627237763155134
276,0.00036914016169676444,0.014205334565243918,0.008035328017218634,0.04430110043146289
277,6.921182072559808e-5,0.009924356996211808,0.008338475483296229,0.04260414767805837
278,0.00020065542861809931,0.009438847309574913,0.013860591963351786,0.03154267963869998
279,0.00011869452939965474,0.004124503096242609,0.02200625610386842,0.011794426754891413
280,0.00015285272982529485,0.009596825905201185,0.020559924026365167,0.030068158168767203
281,0.00019247594474635315,0.0030030304922975806,0.014002092803974348,0.02156266148934249
282,0.0003487470646820253,0.004641058216910684,0.011021933465811472,0.02965427646622291
283,9.996467881696322e-5,0.012356376626100864,0.0050095513461532615,0.03345984753024544
284,0.0002545026919814274,0.01782920589344969,0.006951130518120824,0.03694703019385318
285,0.00011903337894285111,0.009429972544165048,0.002333710092589351,0.020930104731296258
286,0.0001900305497806153,0.009107119082446227,0.004560187369954868,0.033924912548102606
287,8.30962953482957e-5,0.009456670530167771,0.011475726856053392,0.006919074729166478
288,0.0002762547425696559,0.0014389411622651109,0.014916203987765794,0.005348402783452127
289,9.988324180912512e-5,0.009696982323971348,0.019685565040566035,0.009878601814952386
290,0.0002866689057994699,0.009339007684970754,0.018301531823207817,0.01696036464662182
291,8.249293500013719e-5,0.0015918716102779795,0.023506767355711996,0.00981626299416829
292,0.00019673172876320233,0.005865139130069215,0.02118780444701687,0.01229451814862009
293,6.997736408835167e-5,0.024957399741467646,0.04540306740386713,0.0023176672960882926
294,0.00011795694695524322,0.002729481948304479,0.03750354446917507,0.007657284560568672
295,0.00018425152855118898,0.015298724557506294,0.05414481778722611,0.006492052625176548
296,8.6198350607217e-5,0.010298189160659837,0.04473529918778981,0.0028447798045703023
297,0.00017874572110903326,0.006240115827925229,0.030720174286266163,0.024241809001385638
298,0.00026944565951520194,0.021205831741306583,0.01820117819436711,0.02717210902562997
299,0.00012320044923172076,0.035043151747868755,0.010098016153279248,0.037702823779064774
300,9.799817226673478e-5,0.03010243094811077,0.03554682290502646,0.028206355819893524
301,0.00012144834676686497,0.03273944519267021,0.03536149705602929,0.016396384007618767
302,0.00017395583434593904,0.024417030266184497,0.028871456345423513,0.03500836209575161
303,0.00015017387410816205,0.023289150879499947,0.026650731835311452,0.02842225918702011
304,8.461440353734398e-5,0.01887807920055249,0.029498814214567706,0.030524806506812885
305,0.00010607114799550097,0.01487274065772838,0.02570933982193356,0.03629028950830912
306,0.00022987931651708148,0.009924647920803237,0.03415096456219959,0.039733955077208984
307,0.00019168557182385406,0.018661818916696393,0.038247515508189396,0.033056465171387
308,6.393007158852059e-5,0.024946681251040725,0.03560651832081493,0.03354091592812721
309,9.477693464376125e-5,0.03792913690136221,0.020302004299169295,0.03335050127208358
310,0.0003087281599961511,0.03034336515164949,0.020494208297900593,0.034864238436092196
311,0.0002201947048037962,0.016859430452337815,0.027643728622778037,0.03926950076319227
312,0.00025165519301868777,0.010147950536923727,0.019482723749888697,0.046815744716856
313,0.0001485757177019496,0.005003122005918624,0.02158932185871346,0.05205710757022977
314,0.00010172580986832654,0.00786855093140672,0.024647322784403073,0.04431792057506673
315,0.0001541609560350562,0.009101327383041733,0.037790913806141586,0.04371389992868575
316,5.088633814191251e-5,0.013815014259559704,0.03053358125195926,0.04207396342037208
317,0.00022895153807265192,0.01074702574037152,0.017579846784117975,0.04141694885300563
318,5.937313059889127e-5,0.005958421029345884,0.013819690358935897,0.0397356123661267
319,0.0001268511590386113,0.009547562566134715,0.009802934055151353,0.03798611720123018
320,0.000198488005860528,0.014865476231223472,0.019011745049745333,0.03747252120184834
321,0.00016066524083920857,0.005554276914561244,0.015024746921999291,0.038456526409428746
322,0.00013491730710365454,0.008539947271883688,0.008244875769051778,0.03303531361591817
323,8.25512588445627e-5,0.0025287783011117976,0.01546519235212822,0.032633558438038786
324,0.0002777314460165242,0.005119129865511515,0.021066982050400893,0.03130134389776649
325,6.002330611033028e-5,0.003131022237995811,0.01129026672522671,0.02896871673621093
326,0.00018142187366000566,0.010021575342124344,0.003551957011193849,0.02464266762297729
327,9.262467259177519e-5,0.00975972003432564,0.02308959273838961,0.01679639750512406
328,0.0001778520755932435,0.01237562852000998,0.008765482566089665,0.020742819620396043
329,5.430667991187932e-5,0.03552008441454079,0.06581558200688659,0.023070480761155136
330,0.00011762469261806843,0.025968589087380547,0.06001166862622499,0.025700612368067536
331,7.518781718766126e-5,0.017820047569097025,0.014479503408564662,0.020801598291203222
332,0.00013375988569118145,0.018002245379893,0.008643467170135548,0.010617515526454823
333,0.0002999017682572663,0.008445354632868092,0.007285813847488184,0.00984271051176482
334,0.00015894139198121263,0.01806319188224315,0.014728852044961377,0.005352187154992119
335,0.00019564116515663815,0.010986253595784697,0.01152730379200668,0.004611323631039019
336,0.00022265326272636802,0.0033478171389290465,0.01679751214077402,0.0035058118856864523
337,0.00013773898301253732,0.002305334847942218,0.013775575259769106,0.005235076452838184
338,0.00016798309529285235,0.010495196004714038,0.004930531780670792,0.00946362860411915
339,0.00010019414956240143,0.014364340458630864,0.00697460897751048,0.00781496975493228
340,5.308454079230159e-5,0.008419455765372924,0.0064504974888206475,0.010291609272963465
341,0.0002409791287329587,0.022024656401829733,0.00037941342977107316,0.015701552371634512
342,9.951422256693826e-5,0.01509472983898552,0.003445003596963766,0.017180928217761657
343,0.0002872754593422805,0.010217681930920059,0.012892319093552965,0.024198065519778017
344,0.00017314471842593798,0.0040173848893180755,0.006711328289083351,0.021357931567999394
345,0.00017678089879647388,0.021928472527949605,0.01254668106529469,0.01928542189552257
346,0.00016282845884111986,0.008551364101207529,0.01139298968582052,0.019798467996826812
347,8.251746065155078e-5,0.0182135195876635,0.015260862959022342,0.02064734342922733
348,8.425196096145734e-5,0.030822396724082823,0.0009699078217533406,0.025146098139418368
349,0.00011573521703739251,0.03209302922976267,0.006547048617311209,0.025599742698189557
