dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
2.679565720045221653e-04,1.391415987215166919e-02,3.497731203186393162e-02,6.286601685352111168e-02
8.085234787672707665e-05,2.112584693548816284e-02,4.267906257996267883e-02,7.516849556019290779e-02
1.675341425293317332e-04,2.367800711656855087e-02,3.835165094696718624e-02,7.172422809508871566e-02
1.735945114788390513e-04,2.546969841553839431e-02,4.166833293749902523e-02,7.493216709600236669e-02
1.353114225426852411e-04,2.634437928439989710e-02,3.320470463069772477e-02,5.915273373703872767e-02
1.952390580966859826e-04,1.580960837563501198e-02,2.040668479172366712e-02,3.519630895588366643e-02
5.385131254423431845e-05,1.839561007302490184e-02,2.115613067404546049e-02,3.648714711319654691e-02
2.327386538940790135e-04,1.898616441384336564e-02,1.999544402003574153e-02,4.097587613860537159e-02
7.958391458414180520e-05,1.113297439983276273e-02,1.801289695132932828e-02,3.964261028018725014e-02
1.530314193087554747e-04,6.062758459661627894e-03,2.232600628748948601e-02,4.695995413198168766e-02
1.958684436739813455e-04,1.062487228955427340e-02,1.699934740652352116e-02,4.220616081979138012e-02
2.405083529312698840e-04,1.951232573459734526e-02,1.174184960948759619e-02,3.931168721585026615e-02
1.159243593302863070e-04,1.306554011764766640e-02,1.125079196188964042e-02,4.292364816416718160e-02
8.467400412637828510e-05,1.291549600716985005e-02,1.453329133960883611e-02,4.040512188603798127e-02
1.120285162486318073e-04,5.451945738039048854e-03,1.320544899322965635e-02,4.385051221244411213e-02
1.513302855348308085e-04,6.761598085358491717e-03,1.416004269179913129e-02,4.423383904143832895e-02
1.565686148575430494e-04,7.503232823363218187e-03,1.451550079789826891e-02,3.875230354580729702e-02
2.148710438085775032e-04,1.211594605253551310e-02,7.953833282724981010e-03,4.223882344756468843e-02
1.190665757408546917e-04,1.532779614247670001e-02,6.091115289852015897e-03,3.774148462908992474e-02
1.341651998770681576e-04,6.921677867653991401e-03,1.051278626281851834e-02,3.223500500107610856e-02
1.073785837586814366e-04,5.541195222618562968e-03,7.054497382789464907e-03,3.233631040655752381e-02
1.492917483059429714e-04,3.299214178525910167e-03,7.759418316078075736e-03,2.877879840498701047e-02
1.170991883254514365e-04,2.080567970491115602e-03,1.733476280826613770e-03,2.484807069895743348e-02
1.778582099491517361e-04,1.307043246363186932e-03,4.708548710004646989e-03,2.620211051421898751e-02
2.225105539181245937e-04,5.305778733036581665e-03,1.486410761041479910e-03,2.214665034145525332e-02
1.334042264914057072e-04,3.839315601160711751e-03,8.380873427776993137e-03,2.423610605795618184e-02
1.618192653874563178e-04,4.539784800448492912e-03,1.060874994605178791e-02,2.241427050014369038e-02
1.161492505502369319e-04,3.985954717771745572e-03,1.917019978277191951e-03,1.943448636203812946e-02
2.229181813767766173e-04,2.037659535434483467e-03,2.907513897559534100e-03,1.535758134932603373e-02
2.042360990162337439e-04,2.945764311408190922e-03,3.096863767901157204e-03,1.211847536975406252e-02
