STM_chief,STM_deputy1,STM_deputy2,STM_deputy3
-1.3871520069101415 -1.588171492030633 11.653175443389282 -10558.720903192989 328.86269899841596 -2422.1464632233374 0.9699795223347899 1.1770168692663872 -4.808644558983969 4371.782852172257 689.9076362717965 768.2548906402776 -7.138967812104987 -4.83077878290243 35.99243216489661 -32247.7672612563 775.2446909728955 -4881.989258408943 0.007700603617188144 0.00537604234662417 -0.03945837348655072 36.45972553849769 -0.7791159995491753 5.695552880259781 0.000537283116218956 -0.0006297156004529895 -0.0021773929523854684 1.8732990570927943 0.47299710057796135 0.235438837993287 -0.0038046797183168388 -0.002080170040801456 0.014345134504036995 -13.095845890288865 0.22215894046777898 -1.1216435669247988,0.5413208854207608 -3.1068430314897197 0.5563953639453797 421.04997561803134 564.7108461715402 2853.208547944199 -0.869816266011829 37.34922658435142 -7.351053017605353 4456.820404880386 -5009.643672409475 -32756.437654831767 -0.2874182521759144 9.531801424787055 -0.9496755079938275 1275.7842992864878 -2103.58478038052 -8400.599167566435 -0.001060694008420056 0.004470268581961079 -0.0009477905420473456 1.0197083811478487 -0.6635898184896862 -4.026094379699833 -0.000230159020084774 0.01286094842339441 -0.0035274647096364357 1.5303650843511334 -0.8599895104009859 -11.500883925596183 0.0008641407809518209 -0.04071691065889328 0.007912149734145278 -4.903031920683559 5.749742550977672 36.77823634934216,6.818723631812427 -2.5060770178548966 7.273608491505754 6146.143875735783 -3870.9461198358376 -4939.180494689217 -0.025102152943765464 0.5596768547639996 0.2753445982187479 255.1464665766666 562.7632332016198 -551.3307724267676 22.894395669770486 -8.772530262797058 28.800678561660654 21138.994877243487 -15605.161351359346 -20736.625290216925 0.022401487728811075 -0.009184447848119571 0.027337010162204755 21.38315044243935 -15.20586364210411 -19.8938303973076 -0.014047033825942577 0.00456309003911339 -0.016539977208356843 -12.660012596042215 9.71912909918648 12.15040992658477 -0.004032904647775368 0.0014902279737914485 -0.006285262764423452 -4.205238890253291 3.155469868417714 5.096618969227603,4.917810870532305 7.88328883807537 10.717086485396784 -1443.746112415833 -9440.731142077528 8131.240434375154 10.41855483842638 19.134859189310202 25.06794405316082 -5400.057468740474 -21696.445870601045 19197.428394741237 4.562846999896174 7.9607149186338395 11.984238757276609 -2092.559516779849 -9052.687196620554 9084.547522571966 -0.0008178212151517773 0.0001248616825358428 0.0004537116236215156 0.5402345309354649 0.04350601229007678 0.1578248781650554 -0.004796120793167513 -0.009482147334527019 -0.011595913966328471 2.5367400039125196 11.117022721552791 -9.140574572224336 0.012708959504821496 0.02216344304100203 0.031097928127965347 -6.048883796607758 -26.147688865743017 24.36801869011377
-0.9156849126546749 -1.2614252446138556 9.254978067354195 -8343.952747809524 281.9592265955635 -2079.2394587651906 1.0004766310016375 1.1368331822409066 -4.929444657354837 4475.206297697402 716.8389919664859 780.5786953437315 -7.354278839504479 -4.945656236301633 36.77914280547914 -32967.03587076904 786.7618400014481 -4937.714962362265 0.008011548384611867 0.005511986400371812 -0.040455754712787007 37.34410417731901 -0.7836817762131482 5.7299227402491 0.0004786564294323431 -0.0007093133389432227 -0.0018475478675646603 1.5727771427897679 0.4243778526869268 0.17537645914816355 -0.0033677762065161066 -0.001747408687971268 0.011866962268984543 -10.870070391941967 0.16177915539857668 -0.7364596539211852,0.4766208651848913 -2.831159891809477 0.4975575494335799 481.3763865258229 524.137933857279 2604.8451710272393 -0.8816167474525424 38.0428903473132 -7.548857503533207 4539.257431585469 -5049.42700219153 -33378.023472125235 -0.23547791577135022 7.061134414354976 -0.4659740586858803 978.2852551517374 -1758.083587193754 -6169.8022472003995 -0.0010951817884705744 0.004716367585846468 -0.001013142920650078 0.9905281525822226 -0.6882201170297371 -4.250395630491175 -0.00016320287306359268 0.010249882360261416 -0.003061292317447415 1.2163602150023394 -0.4669414684795091 -9.209219631676374 0.0008664557185867089 -0.0416117146739373 0.008207436124909087 -5.010588001141434 5.762278006841903 37.559460198871996,8.155160596257435 -3.0554361600742874 8.90030750992683 7420.996943751738 -4777.788741931455 -6121.47187752855 -0.8719971701086194 0.8345250332484049 -0.7187712911945014 -507.98300562724216 1146.3410889661748 178.3015149092206 22.602200317161735 -8.66361427421181 28.362110958588683 20840.66934880581 -15382.103020834445 -20387.162337797192 0.022131259655158702 -0.009121351366669979 0.02686740727225519 21.09861468053042 -15.012716164754549 -19.503268580517304 -0.014173722952758932 0.00459573800777845 -0.016585878633865472 -12.770079134427826 9.727547727552277 12.162867854518671 -0.005707047696872227 0.002140863585233045 -0.008329815928617357 -5.738411128244067 4.278941692489091 6.548290508192574,4.858443851978814 7.874230214178257 10.721718198201605 -1408.331031025473 -9418.306894720456 8123.580536909175 10.108319833625675 18.52566565331242 24.315795042169253 -5236.829661709735 -20983.68134491227 18605.996642153666 5.317168621985822 9.274090944400095 13.833676367842473 -2450.3793279978054 -10603.059868559787 10533.790952117219 -0.0011606707827402608 -0.00042690027400483545 -0.0003008469889923672 0.6397985552393032 0.7039876899291979 -0.41415647287141105 -0.005542292076152885 -0.010817838851265771 -0.013471298502308366 2.9023033537638807 12.635044390499642 -10.570696934044832 0.01242647417966784 0.021600677819719256 0.030529043790788433 -5.8746977537542655 -25.515227869851657 23.925027953180766
-0.42620346064802905 -0.9271609429370893 6.801625014746812 -6080.075782570093 234.89750068026765 -1735.1153824024284 1.027343009261473 1.0919536831731933 -5.030155077684762 4560.360466335221 740.7945005478373 789.3061303316699 -7.542555082845505 -5.040279891915659 37.41516948107288 -33551.07823048194 794.6656089285614 -4970.456740854755 0.00830063177552032 0.0056265465963202125 -0.04129618116581703 38.09615310989295 -0.7844186566467971 5.736323659835901 0.0004162682897831506 -0.0007861912221179379 -0.001507945532987113 1.264475993189851 0.37383560050365194 0.11561600265120807 -0.0029035994245370875 -0.001405254572815732 0.009323909497647767 -8.58944177877067 0.10176899385271779 -0.35588135077569033,0.4099954192172996 -2.5412257279060593 0.4348615169603414 539.8376008140464 482.1985092203996 2343.4439337136705 -0.8894060977955079 38.57795395178079 -7.717846437769938 4602.652382826796 -5065.797018220497 -33860.48083271277 -0.18353174141365558 4.541673593826229 0.03473287639188849 674.8796008764159 -1412.6608933824773 -3896.162517497656 -0.0011248539860878363 0.004945131484330871 -0.001076329561665747 0.95756154484993 -0.7091487057195803 -4.4605575095471055 -9.651972090930379e-05 0.007575917033712609 -0.0025670585335783765 0.8957950453126142 -0.07990009560411293 -6.864417186451532 0.0008643639258087184 -0.04234267495093874 0.00847852776177803 -5.099856412548998 5.747352208169878 38.20579379396735,9.472652335271416 -3.5998917311846803 10.495453731152773 8676.375821074069 -5671.332534261493 -7278.081732915225 -1.7248465753601252 1.1108258710736472 -1.7136002855808086 -1276.3465551345032 1729.356472867226 907.2826863674632 22.209599774535263 -8.515583213323525 27.801643103599172 20450.496999012885 -15091.827585503828 -19951.341057213183 0.021769941608893086 -0.009020896093976149 0.026285661118571578 20.734013939802047 -14.76261041702365 -19.038179122983703 -0.014245313694369991 0.004611414044054261 -0.016563776256925695 -12.83433558550271 9.700352901745061 12.128806605023335 -0.0073786899565466725 0.0027936629831676633 -0.010347259160253558 -7.266005320021172 5.395451090585011 7.9744467397665275,4.77859217253341 7.8320720294563575 10.680826763295185 -1367.0295430613746 -9356.270871425064 8081.436351616909 9.753838119181612 17.83754425506393 23.451989024724256 -5052.017931386763 -20181.095469966538 17929.363014059534 6.052998769086778 10.551013203585672 15.64520924442747 -2797.0833671608802 -12112.5976760923 11953.73882722051 -0.0015004313290003662 -0.0009781023974334841 -0.0010633022296960841 0.7364017364362152 1.3635582800966515 -0.9913978316039405 -0.006270551857368417 -0.012112260313010412 -0.01531664033408057 3.25602934395486 14.110335172546963 -11.979902997465516 0.012092748856903989 0.02094878786110494 0.029834464257803492 -5.6785233259182535 -24.786949996610044 23.391462851424716
0.07989876665299711 -0.5866784232936436 4.302656694951991 -3775.123267884342 187.90202535768594 -1391.4140779029449 1.050355079390485 1.0425506976854442 -5.110228285834473 4626.806291789693 761.6649126754259 794.4651521787989 -7.702177326733872 -5.114124543851882 37.89690508525839 -33996.8091846158 798.9879937289207 -4980.555203913236 0.008565112011302231 0.005719175589281979 -0.041975642914618486 38.712797577766125 -0.781505321073864 5.716063775873947 0.0003501956978173142 -0.0008600469778565808 -0.0011598550600431575 0.9493213759833041 0.3215766117705749 0.05648089310538836 -0.00241277151101738 -0.0010549919225005411 0.006725538070993726 -6.260848005173463 0.04245104319621094 0.017984717711995835,0.341737002574499 -2.2381109469614446 0.3684497188251102 596.2113021960315 439.1128197221275 2069.876846265819 -0.8932121364902026 38.950941085128925 -7.856359463935945 4646.641553923039 -5059.175630536945 -34200.829559036654 -0.1318386773224436 1.9833697135769053 0.5509080633482383 366.67553810188014 -1068.9219284652722 -1587.8680521625215 -0.0011495972678123466 0.0051555592297515915 -0.0011369300208031285 0.9209726455386763 -0.7264427795286026 -4.655794390820832 -3.0486148411325973e-05 0.004849010576278 -0.0020455936777119747 0.5696677212907374 0.29912318714889025 -4.47343639956815 0.0008580523544216333 -0.042905874606363234 0.008722563649683195 -5.1704776529583185 5.706407073350123 38.71411356305647,10.765729611749789 -4.13718559686479 12.052396447773978 9907.478689825353 -6548.168434032912 -8404.611645953466 -2.5803101790102896 1.3875437830262667 -2.705069978176679 -2047.1699166015997 2309.6683388638376 1632.840862286697 21.71693531833317 -8.328380582630945 27.121141250690677 19968.956482030117 -14734.858952358543 -19430.83056899053 0.02131745822361184 -0.008882550528373587 0.02559443207751897 20.28944331488118 -14.45584494235898 -18.50102379677893 -0.014260691685244487 0.004609549067481911 -0.01647397405028011 -12.851938225072988 9.637414180661358 12.048887379275714 -0.009041434976089415 0.0034461626069856575 -0.012329648092241918 -8.783206471038525 6.501457356402177 9.370527787106937,4.678479149001845 7.756911272568649 10.594015820571315 -1320.0272931614968 -9254.738552719904 8004.538689534781 9.356266445464101 17.073115659952002 22.478541217183903 -4846.363152720643 -19291.382271510272 17168.916297987173 6.76729545767333 11.786221425224 17.411304266173246 -3131.3822826114483 -13575.62882383149 13338.951221091978 -0.0018358401406558685 -0.0015266391605532263 -0.0018310558717048106 0.8297834113878914 2.0201980085680367 -1.57233922391448 -0.0069781755624127246 -0.013360637060819905 -0.017124830123179065 3.5969106514306795 15.538584222732574 -13.363705041037509 0.011708888602752331 0.02021072157156402 0.0290145387414984 -5.461361824985958 -23.96544561700452 22.767163701893708
0.6010619236997241 -0.2413080420446978 1.7678370636559095 -1437.3055584927038 141.18584370016043 -1049.6915174359488 1.06929511245884 0.9888142791651073 -5.1691938881585635 4674.160777202331 779.3536899274748 796.1022641177244 -7.831572763828904 -5.166743000186578 38.221322696284794 -34301.560588377026 799.7794725141204 -4968.470723462435 0.00880219496438973 0.005789403594998473 -0.04249069982052707 39.19120893703541 -0.7751443706920281 5.670625132892394 0.0002805570027925633 -0.0009305921426309919 -0.000804577989192465 0.6282567066094857 0.2678181784448998 -0.001734508359260012 -0.0018962200152397523 -0.0006979362725980374 0.0040816203163636525 -3.8913029567410238 -0.015881642077348566 0.3832560262834552,0.27214414847573426 -1.9229443913458373 0.2984904280647416 650.2853413659897 395.0961529071901 1785.0625988512993 -0.8930843943063235 39.15897938083799 -7.962795722474644 4670.921339967641 -5030.098293055705 -34396.51141240805 -0.08064558238347695 -0.6036072125463927 1.080841287358963 54.80192135696825 -728.3808809128825 746.7113240738515 -0.0011693223719465773 0.005346704214699284 -0.0011945047047785752 0.8809360120076141 -0.7401998526703144 -4.835335641336078 3.455119812227044e-05 0.0020793339577214894 -0.0014980534801003612 0.23898385297872773 0.6683570812256938 -2.0433863694048595 0.0008477362570028435 -0.04329792227016919 0.008936644976486727 -5.222122464856624 5.641029570178542 39.081484205575535,12.028928276946885 -4.665031840180068 13.564655786842808 11109.514197429631 -7404.908458966055 -9496.814249451823 -3.4349861747248096 1.663610303823652 -3.689133833927408 -2817.6303602636244 2885.1297649553 2352.247032172331 21.12493583027049 -8.10210109767425 26.322940134489325 19396.81829523028 -14311.933882533684 -18827.56523657173 0.020774056779994016 -0.008705922317277025 0.024796748747598792 19.765158724297113 -14.092824430481484 -17.89437056677076 -0.014218919222422239 0.004589617547262856 -0.01631702779016045 -12.82211648302944 9.538666115838984 11.923874740919088 -0.010688761952846083 0.004095786740590618 -0.014269314490242593 -10.285100353435428 7.593405191700831 10.732250447507385,4.558403278776836 7.648969828679511 10.461047970642703 -1267.5245375590914 -9113.945330625322 7892.714379467334 8.91692307765929 16.23527965451219 21.397897050594185 -4620.664213694446 -18317.489552597122 16326.319593325436 7.457087392297173 12.974639459854517 19.124460907625526 -3452.0472401666925 -14986.639797759462 14683.983014889489 -0.002165654198711794 -0.0020704534755183884 -0.0026014073447076453 0.9197168878551955 2.6719286165728846 -2.155338551993677 -0.007662504298568798 -0.014558440029810627 -0.018888638653941255 3.9240198633278656 16.915639630746604 -14.717445356193235 0.011276144117500005 0.019389664317424223 0.02807001001436687 -5.224227748839181 -23.053398824874037 22.05212293851732
1.1355579035952994 0.10759401262142756 -0.7928808111547987 925.0046532336534 94.94924081436153 -711.4103840265497 1.0839537728622433 0.9309513470245573 -5.206660451316093 4702.098091984739 793.7776402110176 794.2807000454208 -7.929233765934346 -5.197767834637567 38.38598725249443 -34463.08914047605 797.1071626488615 -4934.769510397741 0.009009072667322707 0.005836839500462781 -0.04283848943602654 39.528804928601616 -0.7655576747742852 5.601629485264535 0.00020751391062936482 -0.0009975531526181373 -0.0004434440889394538 0.30224433783288346 0.212787727635799 -0.058767202813655155 -0.0013551919437005421 -0.00033543023596509773 0.0014021072952170614 -1.4879558376883324 -0.07296779589085702 0.7382892442505871,0.20152002355727452 -1.5969100367410392 0.22517876383092497 701.858318940438 350.35713271183994 1489.9657010419808 -0.8890922371574752 39.19981276853785 -8.035633838886811 4675.248766513871 -4979.1992713260925 -34445.3998438506 -0.030185669825135077 -3.2088995576121038 1.6226482332579288 -259.5935060685963 -392.45325091601956 3099.035313787137 -0.0011839641000711326 0.005517675494931923 -0.0012485990861546236 0.8376351735328859 -0.7505438531792562 -4.99842445865338 9.827816425779935e-05 -0.0007227427479784897 -0.0009259337742406337 -0.09524064092687767 1.0262804231544989 0.4184477336916097 0.0008336544250460688 -0.043515956494282346 0.00911787389624943 -5.254490301583474 5.552916405518054 39.30515932718006,13.256809036509088 -5.181125507487867 15.025943813245206 12277.71151751785 -8238.192192212653 -10550.598694445418 -4.285422065307232 1.9379269528497929 -4.661785814904633 -3584.861309896108 3453.591858629033 3062.8206899986135 20.43472471165846 -7.836997187855348 25.40982583964049 18735.150914470156 -13824.003019382475 -18143.72841260309 0.020140320649088213 -0.008490771395666683 0.02389597500555201 19.161590962434452 -13.674063873153404 -17.22086412508092 -0.014119246100932908 0.004551145910109934 -0.016093728859230733 -12.744180814933902 9.404108619403415 11.754617935225056 -0.012314044298148608 0.004739855460070374 -0.016158884126338743 -11.766667803943312 8.667719690113941 12.055595826669622,4.418737007294292 7.508591472542143 10.281850917337634 -1209.7341650496057 -8934.244201345622 7745.891447795843 8.43728378802216 15.327200370463691 20.212938961788574 -4375.77340218972 -17262.60998848985 15403.520762952765 8.119482620309027 14.111388861519783 20.777235850783896 -3757.910467719615 -16340.280753761917 15983.39410968526 -0.002488651862805409 -0.0026075399185035582 -0.00337155396914 1.0060073922791222 3.316807140641243 -2.7386634275862676 -0.008320947121395625 -0.01570138683035333 -0.02060073111269425 4.236503314753248 18.23748743617175 -16.03628875373372 0.010795909073870553 0.01848901748356173 0.027002047876410622 -4.968140775717789 -22.053580433802797 21.24652186390059
1.6814907186245742 0.45865046792729713 -3.369389600459964 3303.2872214760982 49.378732687505796 -377.9327528920859 1.0941327625972905 0.8691847625213763 -5.2223170696812655 4710.350749525717 804.8674960978982 789.0784902910558 -7.993737343920594 -5.206912883993406 38.3890653267815 -34479.58480267991 791.052862345452 -4880.108932892778 0.009182963972397032 0.00586117172091394 -0.04301673302187351 39.72325367983484 -0.7529815138890388 5.510802652437415 0.00013127279294812102 -0.0010606723326496668 -7.780714763403463e-05 -0.02773304775740644 0.15672180905879818 -0.114387191014107 -0.0007912626193808338 3.116073695950847e-05 -0.001302902819566651 0.9418987506473808 -0.12857953077341538 1.0816903991350486,0.13017098771197338 -1.2612436085690015 0.14873744701449068 750.7400806107535 305.0962594971614 1185.5956645663741 -0.881322856494743 39.07181304143 -8.073452652290916 4659.442204204889 -4907.196456773408 -34345.811398266924 0.019322757466637905 -5.821994076968686 2.1742717712225152 -575.3458123161295 -62.45033683404745 5460.404689636722 -0.0011934811742269464 0.005667639305000127 -0.0012987484725291007 0.7912612065211784 -0.7576209176381627 -5.144317611489604 0.000160414979223422 -0.0035466628513319658 -0.000331080412411862 -0.43197627526841487 1.3716272902182463 2.904576569008763 0.0008160642440662565 -0.04355765290989317 0.00926339482634294 -5.267308743304351 5.443838319374198 39.38258968338292,14.44397799773662 -5.683152123626476 16.430183673280915 13407.331311849577 -9044.693567123772 -11562.03446084567 -5.1281262316115095 2.209368604879841 -5.619074019450786 -4345.957476706064 4012.9077154895963 3761.9343889667216 19.64782562328548 -7.533484961469295 24.385017754792685 17985.32720627878 -13272.232201854296 -17381.737066261478 0.019417181859102423 -0.008237022454724095 0.02289577773912228 18.47936163597685 -13.200194390325974 -16.48320011627823 -0.01396112019651825 0.004493720976194019 -0.015805087639094603 -12.617532010926672 9.233808371299334 11.542033619723165 -0.013910570207858486 0.0053755945340438396 -0.017991289451304092 -13.222781259027297 9.72080189670649 13.336792446406653,4.259925395969262 7.3362386901551755 10.05652354033423 -1146.879854628201 -8716.103846359523 7564.104740822341 7.918977703828083 14.352291488566378 18.926992163801653 -4112.592181175902 -16130.173464988195 14402.763163448004 8.751677046739525 15.191801258304938 22.362269629795225 -4047.8653585648913 -17631.370633152434 17231.761940872228 -0.002803634513913434 -0.003135947233350588 -0.004138593087573246 1.0884895755329569 3.952919231639607 -3.3204846389488627 -0.008950983600473505 -0.016785441382906725 -0.022253686873164504 4.5335743363250485 19.500231281556456 -17.31522085672269 0.010269718100072043 0.017512379046330354 0.02581228329219266 -4.694119071846818 -20.968845854218426 20.35077050350271
2.2367993657750116 0.8104677577211461 -5.951462871453121 5688.889785661812 4.64635006993315 -50.514936555183375 1.0996475220976165 0.8037523484807492 -5.215934680660615 4698.710869451352 812.5684288584476 780.5864495841485 -8.02376497646611 -5.193974491495569 38.229333010923355 -34349.67982936882 781.711017406339 -4805.222376746057 0.009321156593796655 0.005862168810240751 -0.043023739742115326 39.7724815272358 -0.7376616190280566 5.399938162045453 5.2085258247159104e-05 -0.001119708776175336 0.000290959217422539 -0.36067102585896466 0.09986496545177921 -0.16839842668576815 -0.00020633908095753749 0.00040045258278926263 -0.004023196095636242 3.3908106586826414 -0.18252324027435904 1.4123199636083332,0.05840516629575141 -0.917229096565601 0.06941725435172826 796.7521295175911 259.5047093501225 873.0061717938939 -0.8698791663099369 38.77399069073463 -8.074952385717419 4623.382286768734 -4814.876020904467 -34096.51880882561 0.06767727162554794 -8.432254423799876 2.733485781688558 -891.2745723377104 260.42413996549885 7821.97356739021 -0.0011978559690516502 0.005795820950153606 -0.0013444832784895646 0.7420114031427447 -0.7615949679907219 -5.272286190350306 0.00022071747637079366 -0.006381695137898951 0.00028430598575986647 -0.7701765085701691 1.703387242781135 5.407278623539944 0.000795236652675271 -0.043421234447615566 0.009370437692049904 -5.260333929258783 5.315604615012354 39.31143930373067,15.585107940115174 -6.168797929960576 17.77152683935429 14493.677697757532 -9821.128049362178 -12527.353744615806 -5.959580125998391 2.4767873644716434 -6.557113323188947 -5097.980592024861 4560.93649363753 4447.017312195474 18.766166932888364 -7.192149520200408 23.252149916155524 17149.030971729622 -12658.004019097913 -16544.227542490215 0.018605932609973997 -0.007944776535992999 0.021800095925057928 17.71930069346109 -12.671970629620152 -15.684103534350768 -0.013744197683031733 0.004416998290434987 -0.015452316916424229 -12.441671825224502 9.02790126898614 11.287090391551233 -0.015471565157143525 0.006000147191024958 -0.01975977732320447 -14.648203886428583 10.749025259220101 14.572295531256342,4.082484691421676 7.132489369709677 9.785341777866009 -1079.1943946062918 -8460.107121357158 7347.501882668016 7.363782989292286 13.31420150136002 17.543829059071836 -3832.067382285396 -14923.840601389846 13326.596292495924 9.350962844728897 16.211429604418633 23.872315320835895 -4320.866214053985 -18854.90229245263 18423.69645467049 -0.0031094282106514937 -0.0036537801991032397 -0.004899526294154305 1.167024634636057 4.578372286356696 -3.8988715449584634 -0.00955016680642083 -0.01780681236227866 -0.02384002497011332 4.814506090631311 20.700073381493464 -18.54905263299364 0.009699245294834643 0.016463525727544278 0.024502842267751502 -4.403173969225132 -19.802137650537816 19.365549664868755
2.7992632362984806 1.1616408431894358 -8.52879044408425 8073.0435933293165 -39.09077941802953 269.6954860055911 1.100329942599132 0.7349058596265817 -5.187367129667124 4667.031523069385 816.8404914252824 768.9061285796712 -8.018122474852303 -5.158832497768887 37.90618193124625 -34072.45839274889 769.1866546687404 -4710.903953881725 0.009421049731991494 0.005839679836091432 -0.04285840913061362 39.674684658278935 -0.7198482087195538 5.270860930607861 -2.975203732803524e-05 -0.001174439110926273 0.0006614657100740021 -0.6955420835590042 0.04246849483788674 -0.22063907805153396 0.0003973421295194623 0.0007710468119319009 -0.006748473750648897 5.851164587925666 -0.2346398066217607 1.7292928344858978,-0.013468958074321778 -0.5661951429015047 -0.012502857346024243 839.7279619790437 213.7634032312483 553.2941668117475 -0.8548776470651741 38.306005004138235 -8.038975937853742 4567.013040599842 -4703.077198131224 -33696.76573210242 0.11469198130108543 -11.028954373622259 3.2979016178937637 -1206.1856206839552 575.0753045443814 10174.76288438704 -0.0011970941281194026 0.005901507138346622 -0.0013853347383412018 0.6900880503528528 -0.7626431537996566 -5.381617448021037 0.0002789776427241329 -0.009216946464513496 0.0009176707834240604 -1.1087742124769082 2.0208008200535783 7.918573767665829 0.0007714510916880886 -0.04310548475580841 0.009436362494127786 -5.233352042521729 5.170028538420611 39.08960953543234,16.67496024121295 -6.635760787198285 19.044368555151394 15532.111307140261 -10564.260306960985 -13442.952683507507 -6.7762510652751855 2.739016933916352 -7.472097035110392 -5837.965813897382 5095.547665866636 5115.557977469431 17.79208475761603 -6.813749514358792 22.015252026460136 16228.263456567454 -11982.919543640446 -15634.042659242272 0.017708235580089382 -0.007614321567623567 0.020613111663464988 16.882465224488637 -12.09027960693204 -14.826311663658808 -0.013468352781535754 0.004320710222809031 -0.015036815712603194 -12.216214784298481 8.78659589987708 10.990795446604555 -0.016990216221988718 0.0066105876396104005 -0.02145791217140956 -16.037591626798022 11.748733273275931 15.75876325759114,3.8870007936857203 6.898033397434635 9.468764188705686 -1006.9181843801639 -8166.949956105458 7096.349445139883 6.773622333120773 12.216799098781888 16.0676719522175 -3535.1878369717306 -13647.49735975587 12177.885968677194 9.914736789641333 17.166058410022394 25.300269232591397 -4575.927708978365 -20006.04791996914 19553.857650094043 -0.0034048854076651853 -0.004159200946762294 -0.00565126591774181 1.241497113571618 5.191288663191867 -4.471789655278029 -0.010116126817078708 -0.018761950697722365 -0.025352235301035145 5.078624180335992 21.833297445920746 -19.732431492757794 0.009086303146082804 0.015346396770210222 0.023076378496288866 -4.096306049660611 -18.556492488324288 18.29185422541455
3.3665100799232563 1.5107580493983936 -11.091013846809894 10446.880133994542 -81.69055389283506 581.6604808389408 1.0960310441553647 0.6629099104969977 -5.136551987857852 4615.228155589492 817.6589841216571 754.1477702814101 -7.975759545688238 -5.101450982216926 37.419623426931324 -33647.466752207 753.593323654614 -4597.993363540208 0.009480196469557911 0.0057936345353545495 -0.04252023195495241 39.42834448018719 -0.6997911257932679 5.125391726546458 -0.00011389834528110462 -0.0012246581466494825 0.001032311443049304 -1.031294420716733 -0.01521088422014723 -0.27098110566094635 0.0010172228174073674 0.0011415346363675876 -0.009468382463969135 8.315171654206022 -0.28480412229044677 2.0319732874958136,-0.08514392745586441 -0.20951127609108983 -0.09671598116170502 879.513333614233 168.04235152600876 227.59880205217982 -0.8364461765476635 37.66817337014094 -7.964529958034677 4490.343222483908 -4572.677476752461 -33146.282986283084 0.16019789191640366 -13.601311948993988 3.8649772652940757 -1518.8729251416275 880.5163608822521 12509.675553742587 -0.0011912240735574098 0.005984048793460338 -0.0014208409870305075 0.6356973326224307 -0.7609512438423347 -5.471617779714916 0.0003350235077312865 -0.012041375787198966 0.001566111839289191 -1.4466782971287773 2.3233504757606136 10.430199841789511 0.0007449905276185152 -0.04260976476473197 0.009458704519286206 -5.1861818515731155 5.008894096463601 38.71527080354374,17.708407381312472 -7.081761674588198 20.24336161522657 16518.063502837045 -11270.912450021533 -14305.391702296352 -7.574605592198595 2.9948774573157375 -8.360307605851009 -6562.928873487481 5614.625509901216 5765.106212595598 16.728324495082333 -6.39922083770126 20.678730409041776 15225.349644763874 -11248.800162879004 -14654.220299976334 0.016726132889798257 -0.007246141682878901 0.019339223706559834 15.970159180143868 -11.456150823954216 -13.912561820980507 -0.013133686948850818 0.004204673720204349 -0.014560153921902609 -11.940901010462344 8.510177994858353 10.654183648647113 -0.018459698119592558 0.007203936204388083 -0.02307957508509728 -17.385498411402008 12.716238605725218 16.893030806619095,3.674127618407004 6.633669188823039 9.107437054791177 -930.2979360896805 -7837.440652180759 6811.039191651608 6.150558208227666 11.06415872614366 14.50319372119005 -3222.9814534146717 -12305.250605279607 10959.823643426984 10.440508536939394 18.05171304674173 26.639203493818826 -4812.1241645938035 -21080.164991714802 20616.975729225025 -0.0036888867771725773 -0.004650429810768429 -0.006390643863711437 1.3118114511657404 5.789799247841221 -5.037100614179768 -0.010646574815853113 -0.019647546366412784 -0.026782815448154654 5.325299212695502 22.896254147007046 -20.859859137616386 0.008432841713635585 0.014165079353180112 0.021536103783662344 -3.7745026492482516 -17.235052095814936 17.131036611432037
