F_chief,F_deputy1,F_deputy2,F_deputy3
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.8469055824575656e-07 2.3084070016086118e-07 -1.6773326338778157e-06 -1.3695240156920678e-11 8.237135998163329e-13 -4.06355366388081e-12 2.3084053682595494e-07 -1.1184799728657995e-06 -2.8833866108817387e-07 8.237135998163329e-13 -8.633779791439079e-12 6.446676636756577e-13 -1.6773316334587216e-06 -2.883386920632318e-07 9.337894144005745e-07 -4.06355366388081e-12 6.446676636756577e-13 -1.168338283084901e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.155312632484764e-06 1.2219085559259438e-07 -1.0939828427486311e-07 -9.828023399747614e-12 1.106126990670655e-12 1.2329840280711893e-12 1.221906706130716e-07 7.711396553500528e-07 -1.7316767378756018e-06 1.106126990670655e-12 -1.3648438552360673e-11 -4.589786891232045e-12 -1.093981901370287e-07 -1.7316778551925699e-06 3.841729829627917e-07 1.2329840280711893e-12 -4.589786891232045e-12 -1.4647047562404755e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.262003489687395e-06 -1.2331241586948303e-06 1.0442645892477996e-06 -1.0465981822457336e-11 7.447358889611382e-13 1.9929425744426395e-12 -1.2331243885089246e-06 -5.408820736477081e-07 -5.301561019650855e-07 7.447358889611382e-13 -1.1156061852184233e-11 -3.1197873697363873e-12 1.044263586559117e-06 -5.301554946022057e-07 -7.211214156514549e-07 1.9929425744426395e-12 -3.1197873697363873e-12 -1.8338913080434375e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.035300650423561e-06 9.31693303974059e-08 6.489409180924499e-07 -1.1755214720605745e-11 -2.9963625835230726e-12 6.167868710131381e-13 9.316915272166217e-08 -1.0950900656255857e-06 4.733056747775705e-07 -2.9963625835230726e-12 -2.0261225098493177e-11 1.946375067687348e-12 6.489413370021707e-07 4.7330688101954784e-07 2.1303907148234257e-06 6.167868710131381e-13 1.946375067687348e-12 -1.1206349240105574e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 4.0611446812091034e-07 2.3633637317778434e-07 -1.7146326200732404e-06 -1.318011779404827e-11 8.437255134393526e-13 -4.157061246746248e-12 2.3633620523113844e-07 -1.1230165651969819e-06 -2.589617134891442e-07 8.437255134393526e-13 -8.673803969657512e-12 7.528094400537061e-13 -1.7146316180257866e-06 -2.5896174521197986e-07 7.169020967658036e-07 -4.157061246746248e-12 7.528094400537061e-13 -1.2230127241375363e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1507930189046288e-06 1.3449606932960056e-07 -1.369454154619082e-07 -9.455933507054284e-12 1.1034064005066047e-12 1.0786879567364684e-12 1.3449589567494392e-07 5.456146510875775e-07 -1.7380914523777753e-06 1.1034064005066047e-12 -1.3751214752798266e-11 -4.459951095179309e-12 -1.3694532449195843e-07 -1.7380925297616995e-06 6.051783732139744e-07 1.0786879567364684e-12 -4.459951095179309e-12 -1.354910213887016e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.3476833752928466e-06 -1.3079833955669353e-06 8.822735236097846e-07 -1.0237059853583767e-11 5.119877384783409e-13 1.520648379192202e-12 -1.3079836280712773e-06 -4.868806213631768e-07 -4.5887381144571423e-07 5.119877384783409e-13 -1.0960136278048563e-11 -2.9353634971797125e-12 8.822725211097412e-07 -4.58873208864875e-07 -8.608027536640422e-07 1.520648379192202e-12 -2.9353634971797125e-12 -1.8690113928731547e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0610311736032164e-06 4.726237481932961e-08 5.86346668968795e-07 -1.1938450749214948e-11 -3.195688710283894e-12 4.408864144924916e-13 4.7262197760252665e-08 -1.1412072330221025e-06 2.715215332519035e-07 -3.195688710283894e-12 -2.051379899224181e-11 1.3293069310637854e-12 5.863470957263304e-07 2.7152274611423366e-07 2.202238405419109e-06 4.408864144924916e-13 1.3293069310637854e-12 -1.106194326199484e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 6.308276755421918e-07 2.3796457733657217e-07 -1.723453438346012e-06 -1.2664490473095962e-11 8.501331967539694e-13 -4.184086519210319e-12 2.3796440459322372e-07 -1.1276525425109013e-06 -2.2910311611943676e-07 8.501331967539694e-13 -8.720020378501298e-12 8.633792855214285e-13 -1.7234524340067726e-06 -2.2910314805418794e-07 4.968248665627437e-07 -4.184086519210319e-12 8.633792855214285e-13 -1.2793876384680601e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.145980976114596e-06 1.4308207854349411e-07 -1.6572794625574003e-07 -9.110303872302638e-12 1.08687202618371e-12 9.317941666152122e-13 1.4308191537647758e-07 3.215654190733192e-07 -1.7158250101645747e-06 1.08687202618371e-12 -1.385030163334984e-11 -4.2671526377224825e-12 -1.6572785879777687e-07 -1.7158260506637812e-06 8.244155620222408e-07 9.317941666152122e-13 -4.2671526377224825e-12 -1.2531273411997542e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4132934874420443e-06 -1.3733325963049542e-06 7.072127446963196e-07 -1.0075361547056979e-11 3.063658646555153e-13 1.0172550850759965e-12 -1.373332831127662e-06 -4.365555125242502e-07 -3.763497511709327e-07 3.063658646555153e-13 -1.0779532361485836e-11 -2.7187437480246797e-12 7.072117414057589e-07 -3.763491532100302e-07 -9.767379747790562e-07 1.0172550850759965e-12 -2.7187437480246797e-12 -1.898802839865959e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0846814458498676e-06 9.691371269158981e-09 5.176821893974893e-07 -1.2117837776536692e-11 -3.3712253272235638e-12 2.380320942331086e-13 9.691194171248257e-09 -1.1620043073530252e-06 6.389482565868799e-08 -3.3712253272235638e-12 -2.0684503558799263e-11 6.873035860546949e-13 5.176826241775971e-07 6.38960448547073e-08 2.2466857520237262e-06 2.380320942331086e-13 6.873035860546949e-13 -1.0998818367462812e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 8.551075979165853e-07 2.3568515195667506e-07 -1.7035496885322786e-06 -1.215683209673348e-11 8.427888264941007e-13 -4.143968687356461e-12 2.356849742895647e-07 -1.1323134848280706e-06 -1.992572774304308e-07 8.427888264941007e-13 -8.772371798190468e-12 9.748165165034925e-13 -1.7035486811993314e-06 -1.9925730903532787e-07 2.772058864050585e-07 -4.143968687356461e-12 9.748165165034925e-13 -1.3367261409909382e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.14094330807804e-06 1.4783524293548783e-07 -1.9526230692813412e-07 -8.790520446929583e-12 1.0577799178644588e-12 7.934221613424536e-13 1.478350894035175e-07 1.0265314460173154e-07 -1.665448108765502e-06 1.0577799178644588e-12 -1.3939921991627972e-11 -4.019107252646614e-12 -1.9526222326898784e-07 -1.6654491153128674e-06 1.038290168056596e-06 7.934221613424536e-13 -4.019107252646614e-12 -1.1596363278233333e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4576862914896695e-06 -1.4280447228709506e-06 5.220454291441844e-07 -9.98307541563266e-12 1.3075651101122855e-13 4.901778469702236e-13 -1.4280449596093594e-06 -3.90769609527466e-07 -2.8397354865210205e-07 1.3075651101122855e-13 -1.0616895389605022e-11 -2.4732048401671724e-12 5.220444240909997e-07 -2.8397295507810977e-07 -1.0669166819536517e-06 4.901778469702236e-13 -2.4732048401671724e-12 -1.9228669496124845e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1058658500425804e-06 -1.892620165824557e-08 4.4407385455397255e-07 -1.2291092745846527e-11 -3.5196578740014144e-12 1.128907061864894e-14 -1.892637947708592e-08 -1.1571360299943297e-06 -1.4616927625977615e-07 -3.5196578740014144e-12 -2.0770324612115914e-11 3.127190086334223e-14 4.440742974282682e-07 -1.4616805103633987e-07 2.2630018788914116e-06 1.128907061864894e-14 3.127190086334223e-14 -1.1020606189401624e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0752141360034234e-06 2.295225619773772e-07 -1.655151987188388e-06 -1.1665611716368683e-11 8.217233120303764e-13 -4.0369203060733635e-12 2.2952237931774404e-07 -1.1369243549932926e-06 -1.6992177635973652e-07 8.217233120303764e-13 -8.830789211745548e-12 1.0855562312403433e-12 -1.6551509761225342e-06 -1.6992180709411372e-07 6.171021837843545e-08 -4.0369203060733635e-12 1.0855562312403433e-12 -1.3942887232743032e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1357503409962156e-06 1.487049806628718e-07 -2.250587883367709e-07 -8.495930728563315e-12 1.0174133441917295e-12 6.644808380716044e-13 1.4870483590647604e-07 -1.0758781859917267e-07 -1.5879779155981316e-06 1.0174133441917295e-12 -1.4015382610580691e-11 -3.7233827299809074e-12 -2.2505870870743557e-07 -1.5879788910124089e-06 1.2433381637900516e-06 6.644808380716044e-13 -3.7233827299809074e-12 -1.0746132723503166e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4800789591647257e-06 -1.471174247191871e-06 3.2991763473801316e-07 -9.961566950185125e-12 -1.2339374617759155e-14 -5.2932847290511e-14 -1.4711744854185428e-06 -3.503094016176757e-07 -1.833090864091744e-07 -1.2339374617759155e-14 -1.0474670621091485e-11 -2.2023593173483854e-12 3.299166269652986e-07 -1.8330849691927897e-07 -1.1297695576709515e-06 -5.2932847290511e-14 -2.2023593173483854e-12 -1.940884394123716e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1242382142476063e-06 -3.811605716030801e-08 3.667274098508807e-07 -1.2456033754270836e-11 -3.6381098420296035e-12 -2.3577664138028134e-13 -3.811623639747475e-08 -1.1266679911437768e-06 -3.5522565043947816e-07 -3.6381098420296035e-12 -2.0769800431705197e-11 -6.273989663740641e-13 3.6672786078572107e-07 -3.5522441950569467e-07 2.2509062042851998e-06 -2.3577664138028134e-13 -6.273989663740641e-13 -1.1129491569379175e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.2874521227425816e-06 2.1956632342333643e-07 -1.5789692191209255e-06 -1.1199202483461062e-11 7.871437894420999e-13 -3.864014883783595e-12 2.1956613576055836e-07 -1.141410733121143e-06 -1.415890712974295e-07 7.871437894420999e-13 -8.895190152006718e-12 1.1940452691580574e-12 -1.5789682035475666e-06 -1.4158910062866648e-07 -1.4604139034211522e-07 -3.864014883783595e-12 1.1940452691580574e-12 -1.451340555269371e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.130474799466583e-06 1.4570323688517066e-07 -2.546293368602479e-07 -8.225863799471731e-12 9.670579705065879e-13 5.456888633064415e-13 1.457031000451241e-07 -3.0580261072236107e-07 -1.4848528024493345e-06 9.670579705065879e-13 -1.4072975533727425e-11 -3.3873020297791207e-12 -2.5462926143798275e-07 -1.4848537494384645e-06 1.4362774140125479e-06 5.456888633064415e-13 -3.3873020297791207e-12 -9.981449982179692e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4800690165956402e-06 -1.5019748990260895e-06 1.34102663712978e-07 -1.0011378087325802e-11 -1.2082134218576514e-13 -6.042591037245662e-13 -1.5019751382949286e-06 -3.1587056204574646e-07 -7.606721091420017e-08 -1.2082134218576514e-13 -1.0355084309631516e-11 -1.910119700264539e-12 1.3410165228706389e-07 -7.606662513760165e-08 -1.1641984548074571e-06 -6.042591037245662e-13 -1.910119700264539e-12 -1.9526164463693303e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1394970933599922e-06 -4.755442448235894e-08 2.86909673721903e-07 -1.2610622877727112e-11 -3.724212879082408e-12 -4.991578002803744e-13 -4.7554605838554916e-08 -1.071075963821701e-06 -5.598416373615202e-07 -3.724212879082408e-12 -2.068308648571093e-11 -1.2770590165280835e-12 2.8691013257817174e-07 -5.598404010364725e-07 2.210573056119413e-06 -4.991578002803744e-13 -1.2770590165280835e-12 -1.1326122788930933e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4882345222867245e-06 2.0597031525731518e-07 -1.4761825729526728e-06 -1.0765795193856442e-11 7.394302461365908e-13 -3.6271702570905594e-12 2.059701226382269e-07 -1.1457000674481565e-06 -1.147380926782266e-07 7.394302461365908e-13 -8.96547670776039e-12 1.2987571962503764e-12 -1.4761815520643586e-06 -1.1473812008858579e-07 -3.425344556723255e-07 -3.6271702570905594e-12 1.2987571962503764e-12 -1.5071583067805864e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1251906839478564e-06 1.3890303525603726e-07 -2.8349503123895656e-07 -7.979647807265562e-12 9.079822140695437e-13 4.3759567727161967e-13 1.3890290547919733e-07 -4.888638637986585e-07 -1.3579017008605442e-06 9.079822140695437e-13 -1.41098768772012e-11 -3.0178729897298233e-12 -2.834949601498507e-07 -1.35790262202659e-06 1.6140545512129196e-06 4.3759567727161967e-13 -3.0178729897298233e-12 -9.3024319337043e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.4576428108553365e-06 -1.5199137189976695e-06 -6.205739952394994e-08 -1.0132226757338718e-11 -1.930040167181056e-13 -1.1558805322751246e-12 -1.5199139588501385e-06 -2.8804514637868224e-07 3.5924564667140334e-08 -1.930040167181056e-13 -1.0260125756067443e-11 -1.6006643181395842e-12 -6.205841550559551e-08 3.592514716679949e-08 -1.1695976648680127e-06 -1.1558805322751246e-12 -1.6006643181395842e-12 -1.9579062022245465e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1513904574866976e-06 -4.707334419958762e-08 2.0592936746103164e-07 -1.2753006855704679e-11 -3.776166555007415e-12 -7.744782169748462e-13 -4.707352836639391e-08 -9.912396592616537e-07 -7.566494153733932e-07 -3.776166555007415e-12 -2.0511982571040726e-11 -1.906031931609263e-12 2.0592983399589157e-07 -7.566481739696271e-07 2.14263011573347e-06 -7.744782169748462e-13 -1.906031931609263e-12 -1.1609556893009138e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.674145210812387e-06 1.8895094023450176e-07 -1.3484311038640013e-06 -1.0373315635014473e-11 6.791315631972564e-13 -3.3291291027459927e-12 1.8895074276221877e-07 -1.149722919008231e-06 -8.98258740236547e-08 6.791315631972564e-13 -9.041533226121924e-12 1.3982064730164311e-12 -1.348430076823666e-06 -8.98258990169889e-08 -5.244222927543394e-07 -3.3291291027459927e-12 1.3982064730164311e-12 -1.5610365660932388e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1199721660354787e-06 1.2843619828848256e-07 -3.111931537453003e-07 -7.75662509545342e-12 8.414222758069332e-13 3.406023901877151e-13 1.284360747324355e-07 -6.539146553654427e-07 -1.2093089077428217e-06 8.414222758069332e-13 -1.4124046984044617e-11 -2.6217411323383356e-12 -3.111930870671239e-07 -1.209309805588218e-06 1.7738868245231135e-06 3.406023901877151e-13 -2.6217411323383356e-12 -8.708576226186501e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.413176541827408e-06 -1.5246810780795605e-06 -2.552117466512422e-07 -1.0323005875827478e-11 -2.276318721724764e-13 -1.699838080349882e-12 -1.5246813180510013e-06 -2.6731072381579e-07 1.5075474215139112e-07 -2.276318721724764e-13 -1.0191529709367987e-11 -1.2784040092108613e-12 -2.552127680522646e-07 1.5075532187298892e-07 -1.145865818535798e-06 -1.699838080349882e-12 -1.2784040092108613e-12 -1.9566799209905647e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1597197349246323e-06 -3.666386389248439e-08 1.2511725780596932e-07 -1.2881554336671543e-11 -3.792785666745183e-12 -1.0570757775882964e-12 -3.666405153978765e-08 -8.884309177760583e-07 -9.423978098575046e-07 -3.792785666745183e-12 -2.02599205819789e-11 -2.5028557499410182e-12 1.251177316765921e-07 -9.423965636729129e-07 2.0481506517355824e-06 -1.0570757775882964e-12 -2.5028557499410182e-12 -1.19772427421351e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.8420000929647703e-06 1.6878412199613129e-07 -1.1977887489829216e-06 -1.002934457716891e-11 6.069611848570613e-13 -2.973437573747559e-12 1.6878391982839995e-07 -1.1534141760842023e-06 -6.727938703683698e-08 6.069611848570613e-13 -9.1232237641513e-12 1.4909620356933054e-12 -1.197787714927817e-06 -6.727940914514822e-08 -6.885859179499348e-07 -2.973437573747559e-12 1.4909620356933054e-12 -1.6122939685873447e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1148925156370325e-06 1.1449032603330177e-07 -3.372837874141357e-07 -7.556165210625483e-12 7.68571318810337e-13 2.549820073733218e-13 1.144902078699278e-07 -7.984061812115595e-07 -1.0415751416103195e-06 7.68571318810337e-13 -1.4114134793649247e-11 -2.205162167186321e-12 -3.372837251793296e-07 -1.0415760185451664e-06 1.913298699638541e-06 2.549820073733218e-13 -2.205162167186321e-12 -8.198882478229993e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.3474297935496051e-06 -1.516196423963996e-06 -4.420612145844124e-07 -1.0581781769798854e-11 -2.2389471698618254e-13 -2.2281989140915237e-12 -1.5161966635900684e-06 -2.540216872799949e-07 2.6646221413009484e-07 -2.2389471698618254e-13 -1.0150758566539874e-11 -9.47948606050409e-13 -4.4206224222200417e-07 2.6646279163139004e-07 -1.0934081069245174e-06 -2.2281989140915237e-12 -9.47948606050409e-13 -1.9489485423754536e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1643431565906626e-06 -1.6477064930061287e-08 4.5805806429382055e-08 -1.299488849198833e-11 -3.773533429562199e-12 -1.3420938479908883e-12 -1.647725669363455e-08 -7.642963606121129e-07 -1.1140029878690774e-06 -3.773533429562199e-12 -1.993191264922923e-11 -3.0565224414653574e-12 4.580628719860702e-08 -1.1140017371794131e-06 1.9286395162886975e-06 -1.3420938479908883e-12 -3.0565224414653574e-12 -1.2425042940103428e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.9889052641087596e-06 1.458011531410993e-07 -1.0267329238309977e-06 -9.741038994039313e-12 5.237925282676494e-13 -2.5644225775155168e-12 1.4580094648818142e-07 -1.1567142135524252e-06 -4.748775262820377e-08 5.237925282676494e-13 -9.210389357399542e-12 1.575660574697771e-12 -1.0267318818773387e-06 -4.748777141803755e-08 -8.321910517469592e-07 -2.5644225775155168e-12 1.575660574697771e-12 -1.6602791736258052e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1100230717263544e-06 9.730512203046346e-08 -3.6135588873778133e-07 -7.377676019868622e-12 6.905722651968503e-13 1.8089856786267726e-13 9.730500844853535e-08 -9.201300318162232e-07 -8.574755981508712e-07 6.905722651968503e-13 -1.4079388516297447e-11 -1.7739909908671113e-12 -3.613558309364591e-07 -8.574764565010583e-07 2.0301531060111253e-06 1.8089856786267726e-13 -1.7739909908671113e-12 -7.771961599231075e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.2615316906988302e-06 -1.4946096226389636e-06 -6.19417665272891e-07 -1.0905792667187936e-11 -1.814440561063496e-13 -2.733124493754099e-12 -1.4946098614622084e-06 -2.4840293362050746e-07 3.8107159628805645e-07 -1.814440561063496e-13 -1.013898399727904e-11 -6.140719297097785e-13 -6.194186999104496e-07 3.810721721814382e-07 -1.0131287578607408e-06 -2.733124493754099e-12 -6.140719297097785e-13 -1.9348093643708234e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1651783475358362e-06 1.3177145806980987e-08 -3.069146506623979e-08 -1.3091913973544955e-11 -3.718539453023058e-12 -1.6245783636531174e-12 1.3176949337447982e-08 -6.208345497314975e-07 -1.2685974575498104e-06 -3.718539453023058e-12 -1.9534460929920867e-11 -3.5567091673417943e-12 -3.069097792242446e-08 -1.268596202602005e-06 1.7860128964044562e-06 -1.6245783636531174e-12 -3.5567091673417943e-12 -1.294729423999329e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 2.1123109240428814e-06 1.203834384078231e-07 -8.381050444617453e-07 -9.515052977075627e-12 4.3065413704791667e-13 -2.1071676812782003e-12 1.2038322752991281e-07 -1.1595699721246877e-06 -3.079500082250082e-08 4.3065413704791667e-13 -9.302845186254714e-12 1.6510198224387662e-12 -8.381039937100843e-07 -3.079501590115964e-08 -9.527409532313691e-07 -2.1071676812782003e-12 1.6510198224387662e-12 -1.704376841665336e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.105432266080964e-06 7.716815174886204e-08 -3.830328005265827e-07 -7.220613168911787e-12 6.085137057233712e-13 1.1842490268748925e-13 7.71680419557934e-08 -1.0172450533560857e-06 -6.600156864417903e-07 6.085137057233712e-13 -1.4019574066597768e-11 -1.3336842652239315e-12 -3.8303274710944425e-07 -6.600165284577642e-07 2.1226773215938216e-06 1.1842490268748925e-13 -1.3336842652239315e-12 -7.426132796862555e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.1569599939691918e-06 -1.46029787587596e-06 -7.842611019296655e-07 -1.1291448497301352e-11 -1.0041011592479018e-13 -3.206943845120995e-12 -1.460298113452489e-06 -2.505460445870186e-07 4.926287546200361e-07 -1.0041011592479018e-13 -1.0157067832718458e-11 -2.8167391626105987e-13 -7.8426214426973e-07 4.926293295676401e-07 -9.064139502877476e-07 -3.206943845120995e-12 -2.8167391626105987e-13 -1.914447791219805e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1622041105966796e-06 5.1833538362398346e-08 -1.0310066621441383e-07 -1.3171837407291115e-11 -3.6286019991923806e-12 -1.8995777155250566e-12 5.1833336654535716e-08 -4.603677383992701e-07 -1.4035767504661446e-06 -3.6286019991923806e-12 -1.907543177988569e-11 -3.993994407914093e-12 -1.0310017329772607e-07 -1.403575491472585e-06 1.622571848183408e-06 -1.8995777155250566e-12 -3.993994407914093e-12 -1.3536904531157712e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 2.2100597858364827e-06 9.295620723608547e-08 -6.35063540972939e-07 -9.357456834892862e-12 3.2872446465397123e-13 -1.6074870608528416e-12 9.295599244024556e-08 -1.1619359331670898e-06 -1.7493547900663032e-08 3.2872446465397123e-13 -9.400377732156896e-12 1.715852162964874e-12 -6.350624805142749e-07 -1.749355892221645e-08 -1.0481238541055315e-06 -1.6074870608528416e-12 1.715852162964874e-12 -1.744013763972525e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1011847073813366e-06 5.441011257491009e-08 -4.0197718203143286e-07 -7.084488100614891e-12 5.23428452915e-13 6.755881520408268e-14 5.441000579776812e-08 -1.0882988440192434e-06 -4.523850512143778e-07 5.23428452915e-13 -1.3934902209815044e-11 -8.893139663477766e-13 -4.0197713291250693e-07 -4.5238587908041193e-07 2.189483553253917e-06 6.755881520408268e-14 -8.893139663477766e-13 -7.159508225965796e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0355136253303798e-06 -1.4138583077828806e-06 -9.337933136482731e-07 -1.1734333816928646e-11 1.858107049360552e-14 -3.642233718026327e-12 -1.4138585436891833e-06 -2.6040803472464865e-07 5.992357660690597e-07 1.858107049360552e-14 -1.020554229996725e-11 4.4261500900142e-14 -9.337943643258127e-07 5.992363407772216e-07 -7.751055916289831e-07 -3.642233718026327e-12 4.4261500900142e-14 -1.8881389872325963e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1554613481921288e-06 9.887740243397533e-08 -1.7020803237096657e-07 -1.3234180867260769e-11 -3.505174628283961e-12 -2.162242499445278e-12 9.887719502297688e-08 -2.855083492743027e-07 -1.5166431201586443e-06 -3.505174628283961e-12 -1.8563898314595602e-11 -4.36005287205418e-12 -1.7020753435022725e-07 -1.5166418572925403e-06 1.440969696702398e-06 -2.162242499445278e-12 -4.36005287205418e-12 -1.4185483147485091e-11
