x_chief,y_chief,z_chief,x_deputy1,y_deputy1,z_deputy1,x_deputy2,y_deputy2,z_deputy2,x_deputy3,y_deputy3,z_deputy3
1.690480598949914338e+03,-8.722974510490399780e+02,6.628550822270299250e+03,1.688277723662552717e+03,-8.726512470348458237e+02,6.628069907421247990e+03,1.697998536382795237e+03,-8.708472841952129784e+02,6.630740808081975047e+03,1.699073796081904902e+03,-8.764725852958632686e+02,6.631448645631027830e+03
1.245259262415886951e+03,-8.850831899776040927e+02,6.724965703067186951e+03,1.242952523821804334e+03,-8.854290526112117732e+02,6.724377593142256046e+03,1.253149040612564249e+03,-8.836606755465301148e+02,6.727561939580213220e+03,1.254315758181496221e+03,-8.893853485649319737e+02,6.728406410447495546e+03
7.946200651007601437e+02,-8.940181788085054677e+02,6.792040453929491377e+03,7.922172860862683592e+02,-8.943530283645167174e+02,6.791335697718378469e+03,8.028562582781362380e+02,-8.926357819512983269e+02,6.795079619769614510e+03,8.041135166238427701e+02,-8.984379158068354627e+02,6.796079503199341161e+03
3.405244429228030754e+02,-8.990644605724753546e+02,6.829489415064174864e+03,3.380346894491295302e+02,-8.993852799500826904e+02,6.828659180610171461e+03,3.490769163036507052e+02,-8.977345176715037951e+02,6.833006614630323384e+03,3.504220808620270304e+02,-9.035920906422593362e+02,6.834181683009715016e+03
-1.150521289233801099e+02,-9.002008289146839388e+02,6.837154903480782195e+03,-1.176186077147977755e+02,-9.005046940488972496e+02,6.836191149180261164e+03,-1.062181097823749951e+02,-8.989354337619812441e+02,6.841183050648132848e+03,-1.047895836067035589e+02,-9.048263958950490178e+02,6.842553891758396276e+03
-5.701284633312646974e+02,-8.974229015066902093e+02,6.815007757845341075e+03,-5.727603190907393582e+02,-8.977070108846257881e+02,6.813903396380154845e+03,-5.610520395444073074e+02,-8.962337926891146935e+02,6.819576970233413704e+03,-5.595467832337291156e+02,-9.021361448933821521e+02,6.821164780664292266e+03
-1.022725995606722677e+03,-8.907431282385671238e+02,6.763147383262865333e+03,-1.025410887825120653e+03,-8.910048310734315464e+02,6.761896435182297864e+03,-1.013450439777701376e+03,-8.896415792691971092e+02,6.768284397882608573e+03,-1.011877328888403213e+03,-8.955334488923832623e+02,6.770110749195700009e+03
-1.470877100834494058e+03,-8.801907343776476864e+02,6.681801297463777701e+03,-1.473601825560706857e+03,-8.804275570112392870e+02,6.680399031372392528e+03,-1.461449462534231543e+03,-8.791874480836806924e+02,6.687528918332655849e+03,-1.459819750407704760e+03,-8.850471608423529233e+02,6.689615498061611106e+03
-1.912633370438663405e+03,-8.658115988398191121e+02,6.571324179584113153e+03,-1.915384008867695457e+03,-8.660212689686891281e+02,6.569767236078726455e+03,-1.903104046524189016e+03,-8.649166074678998939e+02,6.577660767517682871e+03,-1.901431470929909665e+03,-8.707227556640174271e+02,6.580029097582870236e+03
-2.346073823774622724e+03,-8.476680676863131794e+02,6.432196422501858251e+03,-2.348835908540922446e+03,-8.478485360370033277e+02,6.430482919233519169e+03,-2.336496059021541441e+03,-8.468906401169379023e+02,6.439155436756082963e+03,-2.334796918417183861e+03,-8.526221471364481204e+02,6.441826572341195970e+03
-2.769313029917625045e+03,-8.258387029459884161e+02,6.265022189617201548e+03,-2.772071726588357251e+03,-8.259881620607701507e+02,6.263151805130682078e+03,-2.759742354669737324e+03,-8.251872603196958380e+02,6.272611790370119706e+03,-2.758035551099249005e+03,-8.308234414670851038e+02,6.275606002752009772e+03
-3.180509113828300542e+03,-8.004179668816560707e+02,6.070526977129963598e+03,-3.183249414783746943e+03,-8.005348667176892832e+02,6.068501011451754493e+03,-3.171002726522491685e+03,-7.999000078314531947e+02,6.078749696957663218e+03,-3.169309772567757136e+03,-8.054206276082095428e+02,6.082086144191095627e+03
-3.577871619841788743e+03,-7.715158418790075530e+02,5.849554683348585968e+03,-3.580578547460173468e+03,-7.715989019704907150e+02,5.847376093652125746e+03,-3.568487723326975811e+03,-7.711378784364081866e+02,5.858407174873410440e+03,-3.566832710980060710e+03,-7.765232044203412443e+02,5.862103564601919970e+03
-3.959669204022545273e+03,-7.392573862461711087e+02,5.603064187422479336e+03,-3.962328019859693086e+03,-7.393056042304668836e+02,5.600737597492954592e+03,-3.950466305539819132e+03,-7.390248913431045139e+02,5.612537053197772366e+03,-3.948875835367893160e+03,-7.442557448686501402e+02,5.616609302182172542e+03
-4.324237125441036369e+03,-7.037822263765663138e+02,5.332125441166384007e+03,-4.326833541916738795e+03,-7.037948827409495607e+02,5.329657123812832651e+03,-4.315273310948990911e+03,-7.036995937033312885e+02,5.342203150621204259e+03,-4.313776380478492683e+03,-7.087573975796060495e+02,5.346665045840346465e+03
-4.669984504958557409e+03,-6.652439859507132951e+02,5.037915079365601741e+03,-4.672504895936548564e+03,-6.652206449156561803e+02,5.035312911379955949e+03,-4.661316699153786431e+03,-6.653145027525804380e+02,5.048575976277150403e+03,-4.659944549998479488e+03,-6.701813262853412425e+02,5.053438842652873973e+03
