dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.552134556027825714e-04,9.321820490582484117e-03,1.701654644994073096e-02,3.052595859194474903e-02
1.556498817741399515e-04,9.607760833866746397e-03,1.646126675532108216e-02,2.896677619765158571e-02
1.429562940422600143e-04,1.004266817867685742e-02,1.682536902962173536e-02,2.901458479391740009e-02
1.520401231293061093e-04,1.038306690146710912e-02,1.703691065146855504e-02,2.876360710740407528e-02
1.564007383470397380e-04,1.037911761840192883e-02,1.715099112133033898e-02,2.791299808386975626e-02
1.603988647269433078e-04,1.087194173997029639e-02,1.644147774276788140e-02,2.680897340457100500e-02
1.498975131989151047e-04,1.143771753588627808e-02,1.573764981972658114e-02,2.700278610520464445e-02
1.627604516588768504e-04,1.095774905187110390e-02,1.605100948585469131e-02,2.776252553060263792e-02
1.626962782258584920e-04,9.853665445086647393e-03,1.501075006936219286e-02,2.796730086465263471e-02
1.512573227949629787e-04,9.395133416373989063e-03,1.411346487713065201e-02,2.757505511999623279e-02
1.557578686877588445e-04,9.025735125176318971e-03,1.306330660858898672e-02,2.849269166173401188e-02
1.565437386470091533e-04,7.916987877015868244e-03,1.239459299086022488e-02,2.851905548760975267e-02
1.522511416684317902e-04,7.537579976951190065e-03,1.220602226786289199e-02,2.817075480797654255e-02
1.532124963396738250e-04,6.257783345368139738e-03,1.126728164804271029e-02,2.784613625781103691e-02
1.545810373555132303e-04,5.973872091041059970e-03,1.047691208700197475e-02,2.753208249787430714e-02
1.551697231252369678e-04,5.953057310754426845e-03,9.481743808238483895e-03,2.812264400363423053e-02
1.508115834123092568e-04,5.910932200880328682e-03,8.513686038993818067e-03,2.754985953047129829e-02
1.479518522897598518e-04,5.339410945931164290e-03,7.960362115637990843e-03,2.736997917540079719e-02
1.401357111917869117e-04,4.970214422093477066e-03,7.779201618924289768e-03,2.696248707728792285e-02
1.521340694401797930e-04,5.095602139211763068e-03,7.044902679667263898e-03,2.633385436774949087e-02
1.509717695738949951e-04,4.328096704864363951e-03,6.738190584813205479e-03,2.636898352967082665e-02
1.506098075220614607e-04,4.372431576685940728e-03,6.538405466944574758e-03,2.565259324564951593e-02
1.563826812305851475e-04,4.409357888518352676e-03,6.457496535305184797e-03,2.411565542690790112e-02
1.529193528931254787e-04,4.730302467356469094e-03,6.770635846284900339e-03,2.387417405720523508e-02
1.472056424268562572e-04,4.438339908815115524e-03,6.590710952896904236e-03,2.286701693019905363e-02
1.619597392442336567e-04,4.338795664803834704e-03,6.524482875859348441e-03,2.189625132923146700e-02
1.536662020567728998e-04,4.655129373593342931e-03,6.690921353460668568e-03,2.107321104247264834e-02
1.600896475493504090e-04,5.399206972072847707e-03,6.988358605450935984e-03,1.956723120244439201e-02
1.458166134564089632e-04,4.904192947973476553e-03,5.660090121330969143e-03,1.912108512667957949e-02
1.588459389775541994e-04,4.646254115040091871e-03,5.332928928241855576e-03,1.828627717346291426e-02
1.513020036639610845e-04,4.050396506047162018e-03,5.917407536210764554e-03,1.701381780358152476e-02
1.526233124159318076e-04,3.787956726662878183e-03,5.983942604097922634e-03,1.644088339133880500e-02
1.490507688917344252e-04,3.808774694422077580e-03,5.554351748821790072e-03,1.603211433490009732e-02
1.489501020600563039e-04,3.711368548008998035e-03,6.026808873106440263e-03,1.511103147111777026e-02
1.591777309220622526e-04,3.924912810608201241e-03,5.715719402483876270e-03,1.514005936040566797e-02
1.452162397300263983e-04,4.189561281584402996e-03,5.672140946250701053e-03,1.500319068207834651e-02
1.511114892313941357e-04,4.206805046146123474e-03,6.432590249399955731e-03,1.443399882058694038e-02
1.588864639887818404e-04,4.144632224228101021e-03,6.207879668007417959e-03,1.428591888171724771e-02
1.583553173700972410e-04,4.436599795217995891e-03,6.688146861930406237e-03,1.411244133884759916e-02
1.519920989276750704e-04,4.632351081469396163e-03,8.089065286598872556e-03,1.465970878568947401e-02
1.544029419358833397e-04,4.466878361336901020e-03,9.147367139602043465e-03,1.457547952176133782e-02
1.558521636801640385e-04,3.950001887755409842e-03,8.177002906880179514e-03,1.485117722996089767e-02
1.608827970683298725e-04,3.495541145298718382e-03,9.069593108217808772e-03,1.508591628575474582e-02
1.559754086114056263e-04,3.546489371402854543e-03,8.430518601319700323e-03,1.540035814912357921e-02
1.507008867873013095e-04,4.057897363634501396e-03,7.217757549072498398e-03,1.602440100726913036e-02
1.539601361693761455e-04,3.901475873830226662e-03,7.779577768236306361e-03,1.582551812915191508e-02
1.531107553037958828e-04,4.190637056351032876e-03,7.469942421554182435e-03,1.643077835134653525e-02
1.553013500856438198e-04,4.528418968058734069e-03,7.213761534555974964e-03,1.724816949455062684e-02
1.624574912169218679e-04,5.211106600711842320e-03,6.721013027322347150e-03,1.758003289534934913e-02
1.494002221468995349e-04,5.415686371216032156e-03,6.727456006810906587e-03,1.844979758986909843e-02
1.560409099007144837e-04,5.650677267391918286e-03,7.057846799709523861e-03,1.855210658596101111e-02
1.425333385992283528e-04,5.945736255189043584e-03,6.580516438419490612e-03,1.899914366741612889e-02
1.548669930143970874e-04,6.581024210233078764e-03,6.492079088365888817e-03,1.965168145146180961e-02
1.581673036255274627e-04,7.323953815313714345e-03,6.569373476549240920e-03,1.979431255862713901e-02
1.516205879233473912e-04,8.023688709049436527e-03,6.412222543170439590e-03,2.075399598673832377e-02
1.621396617880851889e-04,8.592215209532974574e-03,6.552888676732415534e-03,2.066921531859224059e-02
1.516012849473524304e-04,8.675439626274150662e-03,6.920204736365922343e-03,2.131629482381360366e-02
1.548404751593047534e-04,7.559356319041882037e-03,7.019424045709985079e-03,2.145971289992270811e-02
1.607047047343727311e-04,6.856604768977025803e-03,6.979601551584316624e-03,2.147102517947971356e-02
1.433480975586305369e-04,6.284435729231410174e-03,6.296632347463129373e-03,2.160177162022660496e-02
1.516116258416597823e-04,5.772937040249916801e-03,6.099199623914083185e-03,2.168200067998007213e-02
1.531175791603228134e-04,5.905560670107518756e-03,6.588180351620473094e-03,2.187639633297664907e-02
1.634292155221317541e-04,5.971954855423778491e-03,6.462335132061030121e-03,2.229109104380576703e-02
1.560032429779748344e-04,5.562044997674374901e-03,5.797121709817581146e-03,2.228747049126603499e-02
1.552550668071649739e-04,5.709565496793136789e-03,5.908228534861365011e-03,2.220290995809584902e-02
1.496198093037722507e-04,5.563850320013111021e-03,5.877488021790135825e-03,2.192925949459237356e-02
1.559466659727038373e-04,5.580592083696034149e-03,5.278824620739543637e-03,2.246613929034950441e-02
1.442507274506482585e-04,5.520298513916093580e-03,5.267369156565540091e-03,2.169166937455206667e-02
1.515035343530357398e-04,5.381182337406040586e-03,4.844032769040559384e-03,2.111329401131718450e-02
1.621777825792614059e-04,4.834106911257599233e-03,5.235610961260755807e-03,2.150189999681786923e-02
1.650159915855187913e-04,5.086434332956355116e-03,4.880561420391985386e-03,2.043475613274585781e-02
1.458235101704791073e-04,4.943282078295209089e-03,5.343438791073803519e-03,2.002462849909223547e-02
1.477283454432215461e-04,5.459164439468001777e-03,5.130229897426784834e-03,1.979816490403097512e-02
1.503309931013225914e-04,5.356071479379733401e-03,5.624116315076453827e-03,1.868359106996127922e-02
1.642798013284815740e-04,5.091731428828140914e-03,5.171472925694518309e-03,1.775459694954089132e-02
1.542990528272902796e-04,5.177416261012569854e-03,5.233150887390146389e-03,1.721313020723515275e-02
1.497111948435041412e-04,5.023010557874797201e-03,5.793804859756152177e-03,1.667074243305811596e-02
1.653290899779608753e-04,4.841748259547232550e-03,5.502711009645666618e-03,1.544474851942707894e-02
1.546995513241184155e-04,5.016899124491235040e-03,5.870234014685572418e-03,1.526308664473236855e-02
1.600599264276682157e-04,5.223287505922364835e-03,5.738434237650680107e-03,1.567567942302863782e-02
1.562173553331402162e-04,5.193925091883091691e-03,6.252994800466565861e-03,1.493500548107898687e-02
1.610349902966801117e-04,5.457656641603497727e-03,5.923305915904153104e-03,1.453764791242646154e-02
1.563138319267547724e-04,5.976445226599665615e-03,6.038317391356078263e-03,1.434694686167821073e-02
1.666563407905686958e-04,6.179882508500050484e-03,6.490783312297614821e-03,1.462814128615595732e-02
1.468267010141156728e-04,6.256929995328218766e-03,5.943110492982116647e-03,1.453580739514054830e-02
1.547233086273328126e-04,6.480121454272299610e-03,6.248728966021013451e-03,1.435019760295185368e-02
1.521560222917333173e-04,6.448506851864425037e-03,6.467453025307275984e-03,1.380204661470898000e-02
1.645324789540654844e-04,6.784983096604763758e-03,6.389948768543426277e-03,1.439907496489504883e-02
1.500848010142558282e-04,7.552331739047325743e-03,6.333433662518452717e-03,1.430711044114509056e-02
1.511758066649648618e-04,7.548838592242240048e-03,7.242036989589905986e-03,1.574767816923490146e-02
1.542504885103422672e-04,7.914353828259619583e-03,7.049641259588386964e-03,1.460694617344350174e-02
1.479941329194095891e-04,7.879094231347241392e-03,6.587381543617269047e-03,1.399161274917157076e-02
1.512129684265928935e-04,8.402934218131583033e-03,6.937454608409360235e-03,1.433584189270666921e-02
1.532850169715217292e-04,9.238444157027720857e-03,7.268924942170905922e-03,1.465003800678652685e-02
1.609577618004613469e-04,9.798279145532084664e-03,7.032415992062735106e-03,1.371045312502132060e-02
1.614511202079479621e-04,1.017192595269113264e-02,7.803642800055560387e-03,1.464457882954434305e-02
1.513862891528644841e-04,1.081468594172580767e-02,8.662888445703750481e-03,1.507469170737336071e-02
1.565612742088682522e-04,1.088230357995864130e-02,9.328321324485551805e-03,1.673382735705600949e-02
1.572292712718929917e-04,1.250479807518982064e-02,1.091138686208630894e-02,1.989885095716754926e-02
1.544634643962581851e-04,1.213312992435499997e-02,1.125181214811620846e-02,1.950171642577687783e-02
1.561132802541648332e-04,1.142343223222151705e-02,1.145845356400224634e-02,1.923344326836472565e-02
1.507936923180437996e-04,1.167600041585641069e-02,1.227166354705614901e-02,1.858746560788877150e-02
1.575135590496104456e-04,1.174242576315384125e-02,1.198832586899593183e-02,1.857816490544764512e-02
1.508813730045563135e-04,1.204798598409501792e-02,1.219742257968756821e-02,1.866077007250663278e-02
1.493277536315135200e-04,1.265664161526119762e-02,1.242298567560623686e-02,1.917465178460043759e-02
1.514802592928508960e-04,1.385155247754379405e-02,1.181926672488979244e-02,1.832213638080278095e-02
1.520896844756319626e-04,1.279247851573365839e-02,1.145997595310410677e-02,1.793282863544008732e-02
1.549606105444153385e-04,1.163738369072906190e-02,1.144924546713799868e-02,1.719592103494387361e-02
1.555678019273895477e-04,1.101864086937572734e-02,1.000247235428360949e-02,1.809239578207920071e-02
1.542865529565101766e-04,9.782143026573802275e-03,1.050337481796961674e-02,1.787201977619868806e-02
1.515930614670987146e-04,8.626096594191666120e-03,9.522910516536963257e-03,1.665356490445705703e-02
1.690413957176244229e-04,8.294423104983836281e-03,9.503613475474351896e-03,1.670760775958088015e-02
