dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.480791805653352698e-04,1.037577996674474839e-02,1.939164310228596796e-02,4.601863469256141370e-02
1.556506260863370328e-04,1.101936039881951102e-02,1.984180639736150831e-02,4.828509744076110721e-02
1.587007825843491933e-04,1.151035897687466454e-02,1.995405140151098114e-02,4.977659543938739439e-02
1.674440667630298289e-04,1.117862553801071517e-02,1.952901444965447764e-02,5.053619177865099898e-02
1.518839445682077308e-04,1.178616790718718318e-02,1.997163731833621197e-02,5.237825470265982525e-02
1.614864971528296648e-04,1.271365974383503565e-02,2.004123309263792715e-02,5.325566622736625788e-02
1.556807498560769984e-04,1.400207090658068740e-02,2.040263691137953958e-02,5.361596444557228947e-02
1.730606336086447448e-04,1.543575783296373925e-02,2.231901739316517058e-02,4.882132569198594646e-02
1.621612443306361757e-04,1.752774443829095002e-02,2.398070773271816780e-02,4.361539234221961658e-02
1.666731015024683989e-04,1.793638084148958811e-02,2.327047138709077354e-02,3.933485780213477612e-02
1.682651202052365413e-04,1.779883512555246669e-02,2.564120206174391389e-02,4.106085932538382915e-02
1.654907324047798255e-04,1.846060905660032100e-02,2.665706356311785957e-02,4.213170535423346741e-02
1.588944131419408787e-04,1.926536402751024418e-02,2.669621616320529481e-02,4.256247135429810924e-02
1.692321612478236688e-04,1.799760579385944331e-02,2.625990287236434559e-02,4.334810773584787946e-02
1.745596782518989739e-04,1.761598804451412759e-02,2.420642774722139151e-02,4.301205740126747001e-02
1.651674089702501614e-04,1.633414980171137010e-02,2.416920965474511976e-02,4.204826495122265806e-02
1.647314753477851059e-04,1.466197203895477398e-02,2.202168193984642419e-02,4.146310344763487477e-02
1.694725356288505108e-04,1.433583279131054114e-02,2.199131491780982606e-02,4.017149264912810852e-02
1.554257594633253955e-04,1.295246305025041927e-02,2.070200104125927837e-02,3.885080969478929558e-02
1.498885877991343839e-04,1.295159813777967822e-02,1.997684776366298251e-02,3.890292541862858111e-02
1.695928827618707212e-04,1.201239602096852016e-02,1.838075841538177116e-02,3.752613753506584687e-02
1.630313287187868418e-04,1.095363561022223882e-02,1.758062514183862321e-02,3.655285680879339499e-02
1.571582017334560732e-04,1.111503950081384542e-02,1.737818365523432357e-02,3.556885505947472020e-02
1.575525734972337368e-04,1.035460080471354953e-02,1.691526962357282893e-02,3.438326241267070094e-02
