x_chief,y_chief,z_chief,vx_chief,vy_chief,vz_chief,x_deputy1,y_deputy1,z_deputy1,vx_deputy1,vy_deputy1,vz_deputy1,x_deputy2,y_deputy2,z_deputy2,vx_deputy2,vy_deputy2,vz_deputy2,x_deputy3,y_deputy3,z_deputy3,vx_deputy3,vy_deputy3,vz_deputy3
1528.1241951191182,926.9804714004861,-6769.4871156282425,7.35163897442101,-0.21830596461227827,1.6273786768823322,110.22421264543203,-6750.222742488807,1752.997148473796,-1.0170861851662074,1.8228490760707674,7.2670347727655065,4427.066018631631,-1745.072676507453,5119.374956105934,4.49231839855961,-3.3855032648932144,-5.029819522076142,2169.832781977365,3784.465317249071,5461.008787945725,-1.4427722060368708,-5.810837528541647,4.591523834939336
1965.7389295239047,911.9635394865597,-6657.797016032987,7.230459883242864,-0.2820865913702984,2.0943428191715716,49.00898352344266,-6626.655059550499,2184.9941386766645,-1.0227011587031387,2.2945103675644525,7.127810539302466,4687.137817283781,-1944.4033110510252,4807.038249876197,4.173699108191649,-3.2565244124348074,-5.377772300395432,2078.782188208125,3428.131989105893,5724.838190414694,-1.5911823455306628,-6.06278404205443,4.199726656890937
2395.1771624597336,893.1533188248654,-6518.33901316139,7.079180219442271,-0.34470563581893177,2.552657696236103,-12.413376182299515,-6475.08888183134,2607.7346940743087,-1.0239901633167172,2.755806140360625,6.958611077788891,4927.558039237162,-2135.5817056419783,4474.492789613513,3.8374926819226443,-3.113855463223331,-5.703207127803041,1979.0248751354413,3057.440327103424,5964.624860810637,-1.7328960096540693,-6.289284520860819,3.7903794570622833
2814.6505006124294,870.6272535578061,-6351.688941348596,6.898407995447297,-0.4059055857320468,3.0004332957576327,-73.78342735508932,-6296.204265395201,3019.4438911326442,-1.0209602645552516,3.204809113663397,6.7602431605952695,5147.3130502562835,-2317.8038729976247,4123.131495685298,3.48509783712304,-2.9580865710741264,-6.004744950773973,1870.980377018184,2673.945576467079,6179.366894336511,-1.867326629411787,-6.489407528433388,3.3651963977315114
3222.4106107585535,844.4780858551017,-6158.534896021279,6.68887022078752,-0.46543417971635886,3.4358187766452533,-134.84270953376696,-6090.79498561396,3418.398836818781,-1.013636962361189,3.639657198278581,6.533633423949797,5345.475290602379,-2490.3029304099628,3754.427137439421,3.117984072959073,-2.789864025585807,-6.281104227129768,1755.1025088462554,2279.2555975814957,6368.167135194923,-1.9939184285368439,-6.662331138333641,2.925953752163211
3616.7562991893496,814.8135119373572,-5939.67467041518,6.451410824545124,-0.5230453714171911,3.8570095687398815,-195.33483596606303,-5859.76440230664,3802.935686438945,-1.002063810022089,4.058560841651068,6.279822496535413,5521.2073497097335,-2652.352397324658,3369.9262990406523,2.7376858604142638,-2.6098878513260932,-6.531106985911014,1631.8774579641363,1875.024214034089,6530.236686766538,-2.1121484265678636,-6.807345574991212,2.474482676227182
3996.0404546866957,781.755780266142,-5696.012766545492,6.186988180522495,-0.5785002927761588,4.262254462282834,-255.00656335722869,-5604.120902465218,4171.456297052855,-0.9863019531855517,4.459809760363605,5.999958736044448,5673.765679996151,-2803.269340128028,2971.2429923794866,2.34579642610284,-2.4189091157117617,-6.753684522706832,1501.8217597929731,1462.944414775507,6664.897986099408,-2.221528299874904,-6.923855439157721,2.0126619175445963
4358.676830466635,745.4412320237044,-5428.556981539954,5.896672210157312,-0.631568213986273,4.649862669552148,-313.6088317844904,-5324.972957732382,4522.43449520336,-0.9664295978928599,4.841779048159177,5.6952916488665135,5802.503925991178,-2942.4173467275095,2560.0519405599125,1.9439611495896016,-2.2177269483880178,-6.947882675964348,1365.4801660359253,1044.7414346942403,6771.587439571538,-2.3216061053686317,-7.011381538706545,1.5424104814988377
4703.146639011423,706.0197841733827,-5138.414571695446,5.581641038558243,-0.682027496897788,5.018210834541953,-370.89777079435385,-5023.523834188963,4854.42194215699,-0.9425414168520586,5.202934658244494,5.367165066014095,5906.875846361053,-3069.2093138038613,2138.081558729012,1.5338706010111034,-2.007185279096612,-7.112866630449606,1223.4234134503058,622.1657366874621,6849.8576175691705,-2.4119678721148716,-7.06956234441171,1.0656802675109198
5028.004932277843,663.6543556134967,-4826.787998263238,5.243177180743708,-0.7296665377329952,5.365749960017057,-426.63566825494627,-4701.065991780032,5166.053584134409,-0.9147479031956487,5.541838268597194,5.0170101447043765,5986.437808226688,-3183.11003016226,1707.1066621856562,1.117253252738321,-1.7881693053539185,-7.247925196113794,1076.2459009544457,196.98591719243117,6899.379006661282,-2.4922390660714506,-7.0981550881495,0.5844486835518662
5331.886738479738,618.5202372121398,-4494.970260998858,4.882663238230324,-0.7742846941057195,5.69101221497811,-480.59189908521205,-4358.975209910375,5456.0526790279255,-0.8831746807613036,5.857151547982821,4.6463382598939615,6040.850835395152,-3283.6385404193197,1268.940934712471,0.6958679054009849,-1.5616017056036335,-7.352474514111193,924.5632825363591,-229.01844381236083,6919.941318084509,-2.5620859326816636,-7.097036517762176,0.10071124218672815
5613.5129255760285,570.8044068348185,-4144.33982790749,4.5015770904757435,-0.815693190546198,5.992617579776459,-532.543811513468,-3998.704474437477,5723.235394776168,-0.847961779512855,6.147639848178231,4.256733843720313,6069.882194727689,-3370.3702743304325,825.4291928319693,0.271495874590008,-1.3284386177262109,-7.4260611465460356,769.0099831728975,-654.0639680639498,6911.454351433564,-2.6212167211330537,-7.066203318783233,-0.3835258622728579
5871.695760826516,520.7047908462737,-3776.3551723373484,4.101486571224425,-0.8537159960369518,6.269280281060895,-582.277569017361,-3621.777659560384,5966.514977827967,-0.8092628841058316,6.412175354328401,3.8498472234825787,6073.406507807026,-3442.938928375109,378.43948411732157,-0.15406701023277783,-1.089665406744919,-7.468364512576037,610.236644777241,-1076.370679731864,6873.948412343277,-2.6693827927743583,-7.005772208562168,-0.8662531985170044
6105.3441353732505,468.4294739751662,-3392.548931570967,3.6840436263835965,-0.8881906664995817,6.5198149646357395,-629.5889465549559,-3229.7830360309986,6184.905492927162,-0.7672445628243965,6.649739730314055,3.4273875007568586,6051.406378291318,-3501.038087757783,-70.14494027789496,-0.5790185388329463,-0.846292249140903,-7.479198640610634,448.907509090703,-1494.1692019798757,6807.574282721369,-2.706379614546851,-6.915979703285003,-1.3454655692255049
